Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,77.2,84.7,68.7,94.4,94.3,72.9,91.6,76.7,60.4,76.6,70.4,62.3,73,80.5,61.6,15.2,12,18.8,2.3,3,23.8,5.7,19.1,25.5,11.5,10.9,14.4,9.3,7.1,22.4,7.6,3.3,12.5,3.3,2.7,3.3,2.7,4.2,14.1,11.9,18.7,23.3,17.7,12.4,16,
2011,Total,Publico,74.7,82.8,65.8,93.6,93.5,69.9,90.6,74.3,57.1,74.2,67,59.2,69.7,77.2,46.8,16.7,13.5,20.2,2.5,3.3,26.3,6.4,21.1,27.3,12.2,11.4,14.6,9.6,8,29.1,8.6,3.7,14,3.9,3.2,3.8,3,4.6,15.6,13.6,21.6,26.2,20.7,14.8,24.1,
2011,Total,Particular,95.5,97.7,92.4,98.3,98.4,96.9,98.4,96.6,91.5,92.6,91,85.9,91.5,96.7,87,4,1.8,7,0.8,1.1,2.7,1.3,3.1,7.9,6.8,8,12.7,7.4,2.9,10.9,0.5,0.5,0.6,0.9,0.5,0.4,0.3,0.3,0.6,0.6,1,1.4,1.1,0.4,2.1,
2011,Total,Municipal,76.5,83.1,66.8,94,94,70,90.9,74.4,58.5,76.3,72.5,57.9,75.8,79.1,0,16.1,13.4,20,2.4,3,26.4,6.3,21.3,27.3,11.3,5.1,9.9,5.6,0.7,0,7.4,3.5,13.2,3.6,3,3.6,2.8,4.3,14.2,12.4,22.4,32.2,18.6,20.2,0,
2011,Total,Federal,0,0,0,0,0,0,0,0,0,0,63.4,55.2,71.3,79,0,0,0,0,0,0,0,0,0,0,0,23.1,25.2,25.6,19.5,0,0,0,0,0,0,0,0,0,0,0,13.5,19.6,3.1,1.5,0,
2011,Total,Estadual,67.1,78.9,63.3,87.5,86.9,68.8,88.4,72.9,53.8,70,67.1,59.3,69.7,77.1,46.8,19.2,14.9,20.6,4.8,7.2,25.6,6.8,19.5,27.3,14,11.1,14.2,9.4,7.8,29.1,13.7,6.2,16.1,7.7,5.9,5.6,4.8,7.6,18.9,16,21.8,26.5,20.9,15.1,24.1,
2011,Rural,Total,78.7,82.1,70.6,94.4,94.9,67.7,92.9,71,60.8,82.4,70.8,62.2,72.3,84.4,0,16.1,14.6,19.7,2.4,2.5,29.1,4.5,24.6,28.4,8.8,12,15.9,11.3,6,0,5.2,3.3,9.7,3.2,2.6,3.2,2.6,4.4,10.8,8.8,17.2,21.9,16.4,9.6,0,
2011,Rural,Publico,78.6,82,70.5,94.4,94.9,67.6,92.8,70.9,60.8,82.4,70.8,62.2,72.3,84.4,0,16.2,14.7,19.7,2.4,2.5,29.2,4.5,24.7,28.4,8.8,12,15.9,11.3,6,0,5.2,3.3,9.8,3.2,2.6,3.2,2.7,4.4,10.8,8.8,17.2,21.9,16.4,9.6,0,
2011,Rural,Particular,92.4,92.9,89.4,95.4,93.5,85.8,98.3,91.6,84.4,100,0,0,0,0,0,6.5,5.8,10.6,1,6,12.9,1.7,8.4,15.6,0,0,0,0,0,0,1.1,1.3,0,3.6,0.5,1.3,0,0,0,0,0,0,0,0,0,
2011,Rural,Municipal,78.7,82,70.6,94.6,95,67.4,92.8,70.9,60.7,82.7,85.7,87.5,81,91.7,0,16.2,14.7,19.8,2.4,2.5,29.3,4.5,24.7,28.5,8.7,4.1,0,4.8,8.3,0,5.1,3.3,9.6,3,2.5,3.3,2.7,4.4,10.8,8.6,10.2,12.5,14.2,0,0,
2011,Rural,Estadual,75.4,82.4,69.8,88.2,92.3,74.8,93.4,69.5,60.9,78.9,70.6,62,72.2,84.3,0,16.7,13.7,19.2,4.3,4.6,24,3.5,25.1,27.9,9.6,12.1,16,11.4,5.9,0,7.9,3.9,11,7.5,3.1,1.2,3.1,5.4,11.2,11.5,17.3,22,16.4,9.8,0,
