Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,87,89.9,83,97.8,95.1,82.9,86.7,88.6,78.8,87.2,71.6,65.1,75.9,76.4,0,9.8,8.2,12,0.7,2.8,15.3,11.2,9.2,15.8,7.6,13.9,16.9,11.3,12.7,0,3.2,1.9,5,1.5,2.1,1.8,2.1,2.2,5.4,5.2,14.5,18,12.8,10.9,0,
2011,Total,Publico,86.2,89.3,82.1,97.7,94.8,81.8,86,88,77.8,86.4,69.8,63.2,74.1,74.7,0,10.4,8.7,12.7,0.7,2.9,16.2,11.8,9.7,16.5,8,14.7,17.6,12,13.5,0,3.4,2,5.2,1.6,2.3,2,2.2,2.3,5.7,5.6,15.5,19.2,13.9,11.8,0,
2011,Total,Particular,98,98.7,97,99.6,98.4,98.2,98.4,98.9,97,96.8,94.3,91.7,95.7,96.5,0,1.7,1.2,2.4,0.2,1,1.8,1.6,1.1,2.4,2.8,4.7,7,3.4,3.3,0,0.3,0.1,0.6,0.2,0.6,0,0,0,0.6,0.4,1,1.3,0.9,0.2,0,
2011,Total,Municipal,90.2,91.6,80.2,97.7,95.1,85.2,91,89.6,74.8,88,0,0,0,0,0,7.4,6.5,13.8,0.8,2.8,13.3,7.2,7.9,17.9,6.6,0,0,0,0,0,2.4,1.9,6,1.5,2.1,1.5,1.8,2.5,7.3,5.4,0,0,0,0,0,
2011,Total,Federal,0,0,0,0,0,0,0,0,0,0,64.9,64.9,0,0,0,0,0,0,0,0,0,0,0,0,0,34.4,34.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0,0,0,
2011,Total,Estadual,84.5,87.2,82.2,97.7,94.5,78.3,82.6,86.9,78,86.2,69.8,63.2,74.1,74.7,0,11.7,10.5,12.6,0.7,3,19.2,15.1,10.7,16.4,8.2,14.4,17.1,12,13.5,0,3.8,2.3,5.2,1.6,2.5,2.5,2.3,2.4,5.6,5.6,15.8,19.7,13.9,11.8,0,
2011,Rural,Total,85.9,87,83.4,97.3,94.6,79.5,82.1,85,81.7,83.9,76.8,72.4,76.8,85.2,0,10,10.7,8.5,1.1,3.2,17.9,15.7,12.1,11.6,5.6,5.8,9.4,3.9,1.6,0,4.1,2.3,8.1,1.6,2.2,2.6,2.2,2.9,6.7,10.5,17.4,18.2,19.3,13.2,0,
2011,Rural,Publico,85.9,87,83.4,97.3,94.6,79.5,82.1,85,81.8,83.7,75.6,71,75.5,84.3,0,10,10.7,8.6,1.1,3.2,17.9,15.7,12.1,11.6,5.7,6.1,9.8,4.2,1.7,0,4.1,2.3,8,1.6,2.2,2.6,2.2,2.9,6.6,10.6,18.3,19.2,20.3,14,0,
2011,Rural,Particular,82.5,0,82.5,0,0,0,0,0,73.1,92.1,90.3,87.2,92.8,97.8,0,5.6,0,5.6,0,0,0,0,0,7.7,0,2.1,4.6,0,0,0,11.9,0,11.9,0,0,0,0,0,19.2,7.9,7.6,8.2,7.2,2.2,0,
2011,Rural,Municipal,90.2,90.6,85.4,97.6,96.6,85,85.3,89,83,91,0,0,0,0,0,7,7.1,5.9,0.7,1.8,12.8,11.8,8.1,6.6,2.2,0,0,0,0,0,2.8,2.3,8.7,1.7,1.6,2.2,2.9,2.9,10.4,6.8,0,0,0,0,0,
