Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,89.6,92,86.5,95.7,93.4,90.2,90,91.7,82.7,91.2,81.8,77.1,82.4,87.6,71.6,7.8,6.5,9.3,2.8,5.6,8.4,8.3,6.7,13.1,4.9,6.7,8.7,6.4,4.2,12,2.6,1.5,4.2,1.5,1,1.4,1.7,1.6,4.2,3.9,11.5,14.2,11.2,8.2,16.4,
2011,Total,Publico,88.3,90.9,85.2,95.7,92.5,88.7,88.6,90.6,80.7,90.7,80.1,75.4,80.8,86.2,70.3,8.6,7.4,10,2.6,6.5,9.7,9.5,7.5,14.5,4.8,6.9,8.9,6.6,4.4,12.6,3.1,1.7,4.8,1.7,1,1.6,1.9,1.9,4.8,4.5,13,15.7,12.6,9.4,17.1,
2011,Total,Particular,95.8,96.8,94.3,95.6,97,97.4,97.1,97,94.5,94.1,94.5,91.9,94.9,97.1,100,3.8,2.8,5.3,3.5,2.6,2.3,2.6,2.8,5.2,5.4,5,7.6,4.7,2.4,0,0.4,0.4,0.4,0.9,0.4,0.3,0.3,0.2,0.3,0.5,0.5,0.5,0.4,0.5,0,
2011,Total,Municipal,88.8,91,85.9,95.8,92.5,88.7,88.6,90.7,81,92.7,71.8,68,70.1,79.4,0,8.4,7.4,9.8,2.6,6.5,9.7,9.5,7.5,14.4,3.6,1.2,0,3.4,0,0,2.8,1.6,4.3,1.6,1,1.6,1.9,1.8,4.6,3.7,27,32,26.5,20.6,0,
2011,Total,Federal,91.2,0,91.2,0,0,0,0,0,96.7,89.5,83.2,77.7,83.6,92.1,77.8,8.8,0,8.8,0,0,0,0,0,3.3,10.5,10.7,14.8,10.4,5,14,0,0,0,0,0,0,0,0,0,0,6.1,7.5,6,2.9,8.2,
2011,Total,Estadual,81.5,87.1,81.1,86.3,90.4,84.9,86.3,87.6,77,84.4,80.1,75.4,80.7,86.1,36.6,11.4,9.8,11.5,10.7,7.8,12.9,11.4,8.2,15.6,8.4,6.9,8.8,6.6,4.4,6.2,7.1,3.1,7.4,3,1.8,2.2,2.3,4.2,7.4,7.2,13,15.8,12.7,9.5,57.2,
2011,Rural,Total,91.2,92.9,88.7,96,95.4,91.1,90.6,92.4,84.2,94.1,81.4,75.9,83.1,87.8,75.5,6.8,6.2,7.6,3.2,4.2,8.1,8.2,6.4,12.4,2.5,6.8,8.4,6.2,4.8,14.5,2,0.9,3.7,0.8,0.4,0.8,1.2,1.2,3.4,3.4,11.8,15.7,10.7,7.4,10,
2011,Rural,Publico,91.2,92.9,88.7,96,95.4,91,90.6,92.4,84.2,94.1,81.1,75.6,82.8,87.6,75.5,6.8,6.2,7.7,3.1,4.2,8.1,8.2,6.4,12.4,2.5,6.9,8.5,6.3,4.9,14.5,2,0.9,3.6,0.9,0.4,0.9,1.2,1.2,3.4,3.4,12,15.9,10.9,7.5,10,
2011,Rural,Particular,92.9,91.9,100,87,92.1,93.5,94.1,91.3,100,100,100,100,100,100,0,5.5,6.3,0,12.2,6.7,3.2,4.6,6.1,0,0,0,0,0,0,0,1.6,1.8,0,0.8,1.2,3.3,1.3,2.6,0,0,0,0,0,0,0,
2011,Rural,Municipal,91.2,92.9,88.8,96.2,95.4,91.1,90.6,92.4,84.2,94.1,0,0,0,0,0,6.8,6.2,7.7,3,4.2,8,8.2,6.3,12.4,2.5,0,0,0,0,0,2,0.9,3.5,0.8,0.4,0.9,1.2,1.3,3.4,3.4,0,0,0,0,0,
2011,Rural,Federal,0,0,0,0,0,0,0,0,0,0,77.4,64.5,88.3,97.5,75.5,0,0,0,0,0,0,0,0,0,0,14.1,25,3.9,0,14.5,0,0,0,0,0,0,0,0,0,0,8.5,10.5,7.8,2.5,10,
2011,Rural,Estadual,84,82.7,85.8,79.6,87.5,82.4,81.5,83.1,80.9,91.1,81.4,76.3,82.7,87.2,0,11.2,14.4,7,17.2,10.5,16.5,14.9,12.2,11.6,3.4,6.5,7.5,6.4,5.1,0,4.8,2.9,7.2,3.2,2,1.1,3.6,4.7,7.5,5.5,12.1,16.2,10.9,7.7,0,
2011,Urbana,Total,89,91.8,85.9,95.6,92.7,89.9,89.8,91.4,82.3,90.5,81.8,77.1,82.4,87.6,71.1,8.1,6.7,9.8,2.7,6.1,8.5,8.4,6.9,13.3,5.5,6.7,8.7,6.4,4.2,11.7,2.9,1.5,4.3,1.7,1.2,1.6,1.8,1.7,4.4,4,11.5,14.2,11.2,8.2,17.2,
2011,Urbana,Publico,87,90,84,95.6,91.1,87.5,87.6,89.8,79.4,89.6,80.1,75.4,80.7,86.1,69.6,9.4,8,10.9,2.3,7.6,10.4,10.1,8.1,15.2,5.5,6.9,8.9,6.6,4.4,12.3,3.6,2,5.1,2.1,1.3,2.1,2.3,2.1,5.4,4.9,13,15.7,12.7,9.5,18.1,
2011,Urbana,Particular,95.8,96.8,94.3,95.7,97,97.4,97.1,97,94.5,94.1,94.5,91.9,94.9,97.1,100,3.8,2.8,5.3,3.5,2.6,2.3,2.6,2.8,5.2,5.4,5,7.6,4.7,2.4,0,0.4,0.4,0.4,0.8,0.4,0.3,0.3,0.2,0.3,0.5,0.5,0.5,0.4,0.5,0,
