Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,88.1,92.5,82.7,97.5,98.1,85.3,90,93.4,79.8,83.2,74.2,64.7,79.3,85.1,59.7,10.8,7,15.3,1.8,1.5,14.3,9.6,6.1,17.6,15.1,18.5,24.8,15.4,10.7,17.7,1.1,0.5,2,0.7,0.4,0.4,0.4,0.5,2.6,1.7,7.3,10.5,5.3,4.2,22.6,
2011,Total,Publico,85.2,90.4,78.9,97,97.8,81.3,87.3,91.8,75.4,79.2,68,58,73.5,80.9,59.7,13.3,9,18.5,2.2,1.7,18.2,12.2,7.6,21.2,18.6,22.3,28.7,19.3,13.3,17.7,1.5,0.6,2.6,0.8,0.5,0.5,0.5,0.6,3.4,2.2,9.7,13.3,7.2,5.8,22.6,
2011,Total,Particular,96.9,98.9,94.6,98.8,98.8,98.9,99,98.9,95.4,94.1,92.7,89.1,94.5,95.7,0,3,1,5.4,1,1.1,1.1,1,1.1,4.5,5.8,7.1,10.8,5.3,4.2,0,0.1,0.1,0,0.2,0.1,0,0,0,0.1,0.1,0.2,0.1,0.2,0.1,0,
2011,Total,Federal,94.1,0,94.1,0,0,0,0,0,95.8,88.3,94.2,92.2,93.4,97.6,0,5.8,0,5.8,0,0,0,0,0,3.7,11.7,5.8,7.8,6.6,2.4,0,0.1,0,0.1,0,0,0,0,0,0.5,0,0,0,0,0,0,
2011,Total,Estadual,85.1,90.4,78.7,97,97.8,81.3,87.3,91.8,75.3,79,67.5,57.5,73.1,80.5,59.7,13.3,9,18.6,2.2,1.7,18.2,12.2,7.6,21.3,18.7,22.6,29,19.5,13.6,17.7,1.6,0.6,2.7,0.8,0.5,0.5,0.5,0.6,3.4,2.3,9.9,13.5,7.4,5.9,22.6,
2011,Rural,Total,86.4,90,80.5,97.6,97.7,80.3,86.6,90.6,77.2,80.9,78.1,72.4,80,86.8,0,12.6,9.6,17.7,2.2,1.8,19.3,13.1,8.9,20.7,17.1,16.1,18.7,16,11.4,0,1,0.4,1.8,0.2,0.5,0.4,0.3,0.5,2.1,2,5.8,8.9,4,1.8,0,
2011,Rural,Publico,85.7,89.9,78.2,97.6,97.8,80,86.5,90.6,77.2,76.9,76.5,69.5,78.3,86.8,0,13.3,9.7,19.7,2.3,1.7,19.5,13.2,8.9,20.7,20.7,17.3,20.6,17.3,11.4,0,1,0.4,2.1,0.1,0.5,0.5,0.3,0.5,2.1,2.4,6.2,9.9,4.4,1.8,0,
2011,Rural,Particular,99.3,97.5,99.7,100,92.1,100,100,100,0,100,99.1,100,97.4,0,0,0.5,1.6,0.3,0,5.3,0,0,0,0,0,0.9,0,2.6,0,0,0.2,0.9,0,0,2.6,0,0,0,0,0,0,0,0,0,0,
2011,Rural,Federal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,Rural,Estadual,85.7,89.9,78.2,97.6,97.8,80,86.5,90.6,77.2,76.9,76.5,69.5,78.3,86.8,0,13.3,9.7,19.7,2.3,1.7,19.5,13.2,8.9,20.7,20.7,17.3,20.6,17.3,11.4,0,1,0.4,2.1,0.1,0.5,0.5,0.3,0.5,2.1,2.4,6.2,9.9,4.4,1.8,0,
2011,Urbana,Total,88.1,92.6,82.8,97.5,98.1,85.5,90.2,93.5,79.8,83.3,74.1,64.6,79.3,85.1,59.7,10.7,6.9,15.2,1.8,1.5,14.1,9.4,6,17.5,15.1,18.5,24.9,15.4,10.7,17.7,1.2,0.5,2,0.7,0.4,0.4,0.4,0.5,2.7,1.6,7.4,10.5,5.3,4.2,22.6,
2011,Urbana,Publico,85.2,90.5,78.9,97,97.8,81.3,87.3,91.8,75.4,79.3,67.8,57.8,73.4,80.8,59.7,13.3,8.9,18.4,2.2,1.7,18.1,12.2,7.6,21.2,18.5,22.4,28.9,19.3,13.4,17.7,1.5,0.6,2.7,0.8,0.5,0.6,0.5,0.6,3.4,2.2,9.8,13.3,7.3,5.8,22.6,
2011,Urbana,Particular,96.9,98.9,94.5,98.8,98.8,98.9,99,98.9,95.4,94,92.7,89,94.5,95.7,0,3,1,5.4,1,1.1,1.1,1,1.1,4.5,5.9,7.2,10.9,5.3,4.2,0,0.1,0.1,0.1,0.2,0.1,0,0,0,0.1,0.1,0.1,0.1,0.2,0.1,0,
2011,Urbana,Federal,94.1,0,94.1,0,0,0,0,0,95.8,88.3,94.2,92.2,93.4,97.6,0,5.8,0,5.8,0,0,0,0,0,3.7,11.7,5.8,7.8,6.6,2.4,0,0.1,0,0.1,0,0,0,0,0,0.5,0,0,0,0,0,0,
2011,Urbana,Estadual,85.1,90.5,78.8,97,97.8,81.3,87.3,91.8,75.3,79.1,67.3,57.2,73,80.4,59.7,13.4,8.9,18.6,2.2,1.7,18.1,12.2,7.6,21.3,18.7,22.7,29.2,19.6,13.7,17.7,1.5,0.6,2.6,0.8,0.5,0.6,0.5,0.6,3.4,2.2,10,13.6,7.4,5.9,22.6,
2010,Rural,Estadual,97.7,97.9,80.6,85.5,91.5,75.5,84.2,86.3,82.5,87,67.5,86.7,92.2,0,79.5,1.5,1.6,19.3,13.9,8.1,20.2,14,11.4,15.3,11.7,22.1,8.1,5.1,0,13.6,0.8,0.5,0.1,0.6,0.4,4.3,1.8,2.3,2.2,1.3,10.4,5.2,2.7,0,6.9,
2010,Rural,Federal,0,0,0,0,0,0,0,0,0,0,64.5,75.8,100,0,75.8,0,0,0,0,0,0,0,0,0,0,35.5,24.2,0,0,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2010,Rural,Particular,97.5,96.6,100,100,100,0,99.6,100,100,99.6,100,100,0,0,100,2.5,3.4,0,0,0,0,0.4,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2010,Rural,Publico,97.7,97.9,80.6,85.5,91.5,75.5,84.2,86.3,82.5,87,67.3,85.6,92.8,0,79.2,1.5,1.6,19.3,13.9,8.1,20.2,14,11.4,15.3,11.7,23.2,9.9,4.7,0,14.5,0.8,0.5,0.1,0.6,0.4,4.3,1.8,2.3,2.2,1.3,9.5,4.5,2.5,0,6.3,
2010,Rural,Total,97.7,97.9,80.7,85.6,91.5,75.5,86.4,88.5,85.3,87.6,69.6,85.8,92.8,0,80,1.5,1.6,19.1,13.8,8,20.2,12,9.5,12.9,11.1,21.6,9.7,4.7,0,14,0.8,0.5,0.2,0.6,0.5,4.3,1.6,2,1.8,1.3,8.8,4.5,2.5,0,6,
2010,Total,Estadual,97.1,98,81.9,88,92.3,75.8,80.9,84.5,81,86.1,59,74.7,80.3,0,68.7,2.1,1.5,17.6,11.5,7.1,20.8,16.8,13.4,16.9,12.4,29.4,18.6,13.6,0,22.4,0.8,0.5,0.5,0.5,0.6,3.4,2.3,2.1,2.1,1.5,11.6,6.7,6.1,0,8.9,
2010,Total,Federal,0,0,0,0,0,91.6,95.5,98.6,90.2,93.9,85.9,94.8,91.9,0,90.7,0,0,0,0,0,8.4,4.5,1.4,9.8,6.1,14.1,5.2,8.1,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
