Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,87.1,92.3,80.9,97.8,95.6,85.4,90.1,92.9,77.9,86.3,73.9,64.7,76.2,86.1,90.4,11.2,6.9,16.4,1.3,3.8,13.7,9,6.1,19,11.3,18.4,25.1,17.2,8.9,8.5,1.7,0.8,2.7,0.9,0.6,0.9,0.9,1,3.1,2.4,7.7,10.2,6.6,5,1.1,
2011,Total,Publico,85.8,91.4,79.1,97.6,95.1,83.8,89,92.2,75.9,85.1,70.8,61.4,73.3,83.8,89.9,12.3,7.6,17.8,1.4,4.2,15.2,10,6.7,20.8,12.2,20.4,27.1,19.1,10.4,8.9,1.9,1,3.1,1,0.7,1,1,1.1,3.3,2.7,8.8,11.5,7.6,5.8,1.2,
2011,Total,Particular,97,99.1,94.4,99.5,99.3,99.2,99,98.7,96.2,93.5,94.1,90.2,94.2,98.8,100,2.9,0.8,5.4,0.3,0.6,0.8,1,1.2,3.7,6.4,5.4,9.3,5.4,0.8,0,0.1,0.1,0.2,0.2,0.1,0,0,0.1,0.1,0.1,0.5,0.5,0.4,0.4,0,
2011,Total,Municipal,86.8,91.1,80,97.6,94.5,83.5,88.8,91.8,75.8,88.3,92.6,90.2,94.3,86.4,0,11.6,7.9,17.3,1.5,4.8,15.5,10.3,7.1,21.1,9.8,5,7.3,5.7,4.5,0,1.6,1,2.7,0.9,0.7,1,0.9,1.1,3.1,1.9,2.4,2.5,0,9.1,0,
2011,Total,Federal,0,0,0,0,0,0,0,0,0,0,87.1,83.4,88.7,90.7,89.9,0,0,0,0,0,0,0,0,0,0,11.7,15.2,10.3,8.6,8.9,0,0,0,0,0,0,0,0,0,0,1.2,1.4,1,0.7,1.2,
2011,Total,Estadual,83.1,92.7,77.6,97.5,98.2,85.1,90.2,93.6,76,80.7,70.2,60.8,72.8,83.7,0,14.2,6.2,18.8,1.3,1.1,13.7,8.5,5.3,20.1,15.5,20.7,27.5,19.4,10.4,0,2.7,1.1,3.6,1.2,0.7,1.2,1.3,1.1,3.9,3.8,9.1,11.7,7.8,5.9,0,
2011,Rural,Total,90.3,91.9,87.1,97.5,95.4,83.5,89.7,93.8,83.7,93.3,85.5,79.3,87.2,91,0,8.6,7.5,10.7,2,4.2,15.8,9.6,5.7,14.3,4.8,9.1,12.7,8.6,5.4,0,1.1,0.6,2.2,0.5,0.4,0.7,0.7,0.5,2,1.9,5.4,8,4.2,3.6,0,
2011,Rural,Publico,90.4,91.9,87.2,97.5,95.4,83.5,89.7,93.8,83.6,93.6,83.5,76.4,85.7,91,0,8.6,7.5,10.7,2,4.2,15.8,9.5,5.6,14.4,4.6,10.5,14.6,9.6,5.7,0,1,0.6,2.1,0.5,0.4,0.7,0.8,0.6,2,1.8,6,9,4.7,3.3,0,
2011,Rural,Particular,86.2,89.6,85.9,100,100,0,77.8,85.7,85.5,88,93.6,91.8,94.7,91.1,0,10.4,10.4,10.4,0,0,0,22.2,14.3,11.4,8.9,3.4,4.2,3.5,3.6,0,3.4,0,3.7,0,0,0,0,0,3.1,3.1,3,4,1.8,5.3,0,
2011,Rural,Municipal,89.9,91.5,86.5,97.2,94.8,82.7,89.6,93.5,82.6,93.4,92.6,90.2,94.3,86.4,0,9,7.9,11.4,2.1,4.8,16.7,9.7,5.9,15.5,4.8,5,7.3,5.7,4.5,0,1.1,0.6,2.1,0.7,0.4,0.6,0.7,0.6,1.9,1.8,2.4,2.5,0,9.1,0,
2011,Rural,Federal,0,0,0,0,0,0,0,0,0,0,82.5,79.7,84,84.4,0,0,0,0,0,0,0,0,0,0,0,16.8,19.4,15.4,15.1,0,0,0,0,0,0,0,0,0,0,0,0.7,0.9,0.6,0.5,0,
2011,Rural,Estadual,92.4,94.6,89.6,99,99,88.9,90.3,95.6,87.3,94,83.4,74.9,85.9,93,0,6.4,4.9,8.3,0.8,0.6,10.3,8.8,4,10.8,3.7,8.9,13.5,7.9,3.1,0,1.2,0.5,2.1,0.2,0.4,0.8,0.9,0.4,1.9,2.3,7.7,11.6,6.2,3.9,0,
2011,Urbana,Total,86.7,92.3,80.4,97.9,95.6,85.7,90.2,92.8,77.4,85.7,73.4,64.2,75.7,85.9,90.4,11.5,6.8,16.9,1.2,3.7,13.3,8.9,6.2,19.5,11.9,18.8,25.5,17.6,9,8.5,1.8,0.9,2.7,0.9,0.7,1,0.9,1,3.1,2.4,7.8,10.3,6.7,5.1,1.1,
