Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,89.7,93.3,85.5,97.6,91.9,91.1,92.3,94.1,85.2,86.1,80.2,73.4,82.5,87.8,99.1,7.6,5.7,9.9,1.1,7.1,8,6.6,4.7,11,8.2,12.9,18.4,11,6.6,0.9,2.7,1,4.6,1.3,1,0.9,1.1,1.2,3.8,5.7,6.9,8.2,6.5,5.6,0,
2011,Total,Publico,88.3,92.2,83.7,97.4,90.5,89.6,91.2,93.3,83.3,84.3,78.1,71,80.4,86.2,88.9,8.6,6.6,10.9,1.1,8.3,9.3,7.6,5.2,12.2,8.9,14,19.8,12.1,7.3,11.1,3.1,1.2,5.4,1.5,1.2,1.1,1.2,1.5,4.5,6.8,7.9,9.2,7.5,6.5,0,
2011,Total,Particular,97,98.4,95.1,98.5,98.4,98.8,98.4,98.2,95.4,95.1,93.3,89.6,94.4,96.8,100,2.8,1.3,4.6,1.1,1.3,1.1,1.5,1.7,4.5,4.5,5.9,9.4,4.9,2.6,0,0.2,0.3,0.3,0.4,0.3,0.1,0.1,0.1,0.1,0.4,0.8,1,0.7,0.6,0,
2011,Total,Municipal,89.9,91.9,83.7,97.3,90,89.1,90.8,93.2,83.2,83.9,83.1,74.7,86.7,95.9,0,7.6,6.8,9.8,1.2,8.7,9.8,7.8,5.3,11.8,7.6,10,16.7,5.6,2.7,0,2.5,1.3,6.5,1.5,1.3,1.1,1.4,1.5,5,8.5,6.9,8.6,7.7,1.4,0,
2011,Total,Federal,94.4,95.4,93.3,100,95.1,88.3,100,94.9,95,93.2,84,77,87.5,91.6,88.9,5.6,4.6,6.7,0,4.9,11.7,0,5.1,5,6.8,14.2,20,11.9,7.3,11.1,0,0,0,0,0,0,0,0,0,0,1.8,3,0.6,1.1,0,
2011,Total,Estadual,85.4,94.8,83.7,98.5,96,94.6,93.4,93.9,83.4,84.4,78,70.9,80.3,86.1,0,10.3,4.3,11.4,0.1,3.4,4.7,5.9,5,12.5,9.5,14,19.8,12.1,7.3,0,4.3,0.9,4.9,1.4,0.6,0.7,0.7,1.1,4.1,6.1,8,9.3,7.6,6.6,0,
2011,Rural,Total,89.1,90.2,87.1,97,87.2,89.1,89,90.5,82.9,91.9,87.1,81.8,88.6,94.4,0,8.3,8.2,8.3,1.3,11.5,9.6,9.3,7.8,12.3,3.5,6.8,10.5,5,2.6,0,2.6,1.6,4.6,1.7,1.3,1.3,1.7,1.7,4.8,4.6,6.1,7.7,6.4,3,0,
2011,Rural,Publico,89.1,90.3,87,97,87.3,89.1,89,90.6,82.9,91.7,86.2,80.7,87.9,94,0,8.2,8.1,8.3,1.3,11.3,9.5,9.3,7.7,12.2,3.5,6.9,10.8,4.9,2.7,0,2.7,1.6,4.7,1.7,1.4,1.4,1.7,1.7,4.9,4.8,6.9,8.5,7.2,3.3,0,
2011,Rural,Particular,88.4,87.1,90,97.1,77.8,87.8,89.1,87,82.5,96.8,94.4,92,94.4,98.1,0,10.7,12.4,8.6,2.9,22.2,12.2,9.8,12,15,3.2,5.4,7.4,5.6,1.9,0,0.9,0.5,1.4,0,0,0,1.1,1,2.5,0,0.2,0.6,0,0,0,
2011,Rural,Municipal,89,89.9,86.8,96.8,86.6,88.9,88.7,90.2,82.2,92,83.6,82.8,81.8,93.3,0,8.4,8.4,8.4,1.3,11.9,9.7,9.5,8,12.6,3.1,1.6,1.7,1.8,0,0,2.6,1.7,4.8,1.9,1.5,1.4,1.8,1.8,5.2,4.9,14.8,15.5,16.4,6.7,0,
