Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,87.6,90.4,83.8,96.5,93.4,87.8,88.3,87.8,80.2,87.9,77.2,71,77.9,85.3,90.1,8.9,7.3,11.1,1.2,4.6,10.1,9.5,9.5,14.8,6.6,9.1,12.4,8.6,4.7,6.1,3.5,2.3,5.1,2.3,2,2.1,2.2,2.7,5,5.5,13.7,16.6,13.5,10,3.8,
2011,Total,Publico,86.8,89.7,83,96.3,92.9,86.8,87.6,87.1,79.2,87.3,75.8,69.7,76.5,84.2,91.9,9.4,7.8,11.5,1.2,4.9,10.9,10.1,10,15.5,6.7,9.4,12.8,9,4.9,4.5,3.8,2.5,5.5,2.5,2.2,2.3,2.3,2.9,5.3,6,14.8,17.5,14.5,10.9,3.6,
2011,Total,Particular,96.8,97.8,95.1,98.5,97.7,97.6,97.6,97.5,95.1,94.9,93.8,91.1,94,96.7,86.4,2.8,1.8,4.5,1,1.8,1.9,2.2,2.3,4.5,4.7,4.6,7.3,4.3,2.2,9.3,0.4,0.4,0.4,0.5,0.5,0.5,0.2,0.2,0.4,0.4,1.6,1.6,1.7,1.1,4.3,
2011,Total,Municipal,86.9,89.9,82.3,96.4,93,87,87.7,86.9,78.5,87.1,76.9,66.4,77,84.6,0,9.2,7.7,11.6,1.1,4.9,10.8,10,10.2,15.7,6,4.5,7,4.9,2.5,0,3.9,2.4,6.1,2.5,2.1,2.2,2.3,2.9,5.8,6.9,18.6,26.6,18.1,12.9,0,
2011,Total,Federal,86.1,96.9,82.7,100,100,100,88.9,96.9,93.3,68.2,93.4,90.9,97.2,94.5,91.9,13.7,3.1,17,0,0,0,11.1,3.1,6.7,31.8,4.4,5.6,2,4.9,4.5,0.2,0,0.3,0,0,0,0,0,0,0,2.2,3.5,0.8,0.6,3.6,
2011,Total,Estadual,86,88,85.2,91.7,91.5,84.4,86.5,88.9,82.3,88.1,75.5,69.4,76.2,84.1,0,10.8,9.2,11.4,4.1,5.5,12.4,11.2,8.7,14.2,8.2,9.7,13.1,9.2,5,0,3.2,2.8,3.4,4.2,3,3.2,2.3,2.4,3.5,3.7,14.8,17.5,14.6,10.9,0,
2011,Rural,Total,87,89.5,82.8,95.6,92.7,87.8,86.9,86.4,78.4,87.6,78.1,72.9,79,85.5,95.1,8.8,7.9,10.4,1.8,5.1,9.9,10.5,10.3,15.3,4.8,6.1,8.3,5.8,2.8,1.2,4.2,2.6,6.8,2.6,2.2,2.3,2.6,3.3,6.3,7.6,15.8,18.8,15.2,11.7,3.7,
2011,Rural,Publico,86.9,89.4,82.8,95.5,92.6,87.7,86.9,86.3,78.3,87.6,78,72.7,78.9,85.3,95.1,8.9,7.9,10.4,1.8,5.2,9.9,10.5,10.3,15.4,4.8,6,8.3,5.8,2.8,1.2,4.2,2.7,6.8,2.7,2.2,2.4,2.6,3.4,6.3,7.6,16,19,15.3,11.9,3.7,
2011,Rural,Particular,97.5,98.1,95.7,99.2,97.8,96.9,99.1,97.9,92.2,94.5,90.3,87.3,89.8,95.1,0,2.1,1.5,4.2,0.4,1.5,2.9,0.4,1.9,7.5,5.1,9.7,12.7,10.2,4.9,0,0.4,0.4,0.1,0.4,0.7,0.2,0.5,0.2,0.3,0.4,0,0,0,0,0,
2011,Rural,Municipal,87.2,89.8,82.7,96,93.2,88.1,87.1,86.5,78.3,87.6,77.8,71.2,78.6,86,0,8.7,7.7,10.5,1.5,4.8,9.7,10.4,10.3,15.5,4.7,5.4,8.2,5.7,0.9,0,4.1,2.5,6.8,2.5,2,2.2,2.5,3.2,6.2,7.7,16.8,20.6,15.7,13.1,0,
2011,Rural,Federal,96.7,95.2,98,100,100,100,88.9,90,100,87.5,94.9,88.6,99.7,100,95.1,3.3,4.8,2,0,0,0,11.1,10,0,12.5,4,9.5,0,0,1.2,0,0,0,0,0,0,0,0,0,0,1.1,1.9,0.3,0,3.7,
2011,Rural,Estadual,81.3,80,82.9,75.2,80.3,78.9,80.7,82.1,78.6,86.9,77.4,72.4,78.4,84.8,0,11.7,13.4,9.6,13.5,14,14.5,13.9,11,12.5,6.2,6.2,8.2,5.9,3,0,7,6.6,7.5,11.3,5.7,6.6,5.4,6.9,8.9,6.9,16.4,19.4,15.7,12.2,0,
2011,Urbana,Total,87.9,91.2,84.2,97.2,94,87.7,89.4,89,81.2,88.1,77.1,70.7,77.7,85.2,89.4,9,6.8,11.4,0.8,4.2,10.3,8.7,8.8,14.5,7.4,9.5,13.1,9.1,5,6.9,3.1,2,4.4,2,1.8,2,1.9,2.2,4.3,4.5,13.4,16.2,13.2,9.8,3.7,
2011,Urbana,Publico,86.7,90.1,83.1,97,93.2,86.1,88.2,87.8,79.8,87.2,75.5,69.1,76,84,91.2,9.9,7.7,12.2,0.7,4.7,11.7,9.6,9.7,15.5,7.7,10,13.6,9.6,5.3,5.3,3.4,2.2,4.7,2.3,2.1,2.2,2.2,2.5,4.7,5.1,14.5,17.3,14.4,10.7,3.5,
2011,Urbana,Particular,96.8,97.8,95,98.5,97.7,97.7,97.5,97.4,95.2,94.9,93.8,91.2,94,96.8,86.4,2.9,1.9,4.6,1.1,1.8,1.9,2.3,2.3,4.4,4.7,4.5,7.1,4.2,2.1,9.3,0.3,0.3,0.4,0.4,0.5,0.4,0.2,0.3,0.4,0.4,1.7,1.7,1.8,1.1,4.3,
2011,Urbana,Municipal,86.7,90,81.8,96.9,92.9,86,88.2,87.4,78.7,86.6,76.4,63.1,76,84,0,9.6,7.7,12.5,0.7,5,11.7,9.5,10,15.9,7.1,4,6.1,4.4,3.1,0,3.7,2.3,5.7,2.4,2.1,2.3,2.3,2.6,5.4,6.3,19.6,30.8,19.6,12.9,0,
2011,Urbana,Federal,82.9,98.1,79.7,0,0,0,0,98.1,90.9,66.7,92.8,91.7,96.1,92,91.2,16.8,1.9,19.9,0,0,0,0,1.9,9.1,33.3,4.6,4.2,2.8,7,5.3,0.3,0,0.4,0,0,0,0,0,0,0,2.6,4.1,1.1,1,3.5,
2011,Urbana,Estadual,86.7,90.7,85.5,98.1,96.9,86.7,88.3,90.4,82.8,88.2,75.2,68.9,75.8,83.9,0,10.6,7.8,11.5,0.4,1.4,11.6,10.4,8.2,14.4,8.4,10.3,13.9,9.8,5.3,0,2.7,1.5,3,1.5,1.7,1.7,1.3,1.4,2.8,3.4,14.5,17.2,14.4,10.8,0,
2010,Rural,Estadual,68.7,84,82.3,81.6,81.2,80.3,84.1,84.8,88.1,82.9,73,78.5,85.5,90.8,78.2,15.8,11.7,12.7,13,11.8,11.9,9.7,7.9,5.9,10.9,7.1,4.8,2.1,0,5,15.5,4.3,5,5.4,7,7.8,6.2,7.3,6,6.2,19.9,16.7,12.4,9.2,16.8,
2010,Rural,Federal,92.3,100,90.9,100,70.6,90,100,100,93.8,90.7,85.4,93.8,97,0,91.1,0,0,9.1,0,29.4,10,0,0,0,7.4,12.1,3.9,2.7,0,7,7.7,0,0,0,0,0,0,0,6.2,1.9,2.5,2.3,0.3,0,1.9,
2010,Rural,Municipal,95,90.7,85.8,85.7,85.7,77.8,82.3,84,86.8,85.9,75.8,74.9,85,91.6,79.5,2.1,6.7,11.5,11.2,10.6,14.8,10.1,7.5,4.5,9.4,6.4,4.4,1.4,1.1,4.1,2.9,2.6,2.7,3.1,3.7,7.4,7.6,8.5,8.7,4.7,17.8,20.7,13.6,7.3,16.4,
2010,Rural,Particular,97.2,97.6,97.5,96.1,97.5,94.9,97.5,98.6,97.2,97.1,84.8,90.4,92.2,0,88.7,1.9,1.3,2,3.4,1.9,4.5,2.5,1.4,2.8,2.3,14.6,9.6,7.8,0,11.1,0.9,1.1,0.5,0.5,0.6,0.6,0,0,0,0.6,0.6,0,0,0,0.2,
2010,Rural,Publico,94.7,90.3,85.6,85.5,85.6,77.9,82.4,84,86.9,85.7,73.4,78.7,85.8,91.2,78.6,2.3,7,11.5,11.3,10.7,14.7,10.1,7.5,4.6,9.4,7.2,4.7,2,0.6,5,3,2.7,2.9,3.2,3.7,7.4,7.5,8.5,8.5,4.9,19.4,16.6,12.2,8.2,16.4,
2010,Rural,Total,94.8,90.4,85.8,85.6,85.6,78,82.5,84.1,87,85.8,73.5,78.8,85.8,91.2,78.7,2.3,6.9,11.4,11.2,10.6,14.6,10.1,7.5,4.6,9.4,7.3,4.8,2.1,0.6,5,2.9,2.7,2.8,3.2,3.8,7.4,7.4,8.4,8.4,4.8,19.2,16.4,12.1,8.2,16.3,
2010,Total,Estadual,92.4,91.1,85.3,86.7,88.9,83,85.1,85.4,87.8,86.1,69,75.9,83.7,89.1,75.2,3.4,5.4,11.4,10.5,8.3,12.7,11.2,10.2,7.6,10,12,8.8,4.8,1.3,9,4.2,3.5,3.3,2.8,2.8,4.3,3.7,4.4,4.6,3.9,19,15.3,11.5,9.6,15.8,
2010,Total,Federal,92.3,100,90.9,100,85.1,70.4,74.6,90.4,68.6,78.3,89.5,95.1,94.1,0,92.6,0,0,9.1,0,14.9,29.6,23.8,7.7,30.2,20.5,8.5,3,3.9,0,5.5,7.7,0,0,0,0,0,1.6,1.9,1.2,1.2,2,1.9,2,0,1.9,
