Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,90.7,96.3,84.3,98.6,97.2,93.3,97.1,95.9,82.5,85.8,78.3,70.1,81.8,86.7,89.9,7.3,3.1,12.1,0.9,2.4,6.2,2.3,3.4,14,10.9,12.6,18.1,10.3,7.6,5.9,2,0.6,3.6,0.5,0.4,0.5,0.6,0.7,3.5,3.3,9.1,11.8,7.9,5.7,4.2,
2011,Total,Publico,90.1,96,83.2,98.6,97,92.8,97,95.7,81.4,84.8,76.7,68.2,80.4,85.4,87.1,7.8,3.4,12.8,0.9,2.6,6.7,2.4,3.5,14.7,11.5,13.3,18.8,10.9,8.2,2.7,2.1,0.6,4,0.5,0.4,0.5,0.6,0.8,3.9,3.7,10,13,8.7,6.4,10.2,
2011,Total,Particular,96.7,98.7,94.2,99,98.8,98.7,98.7,98.3,94.7,94.2,92.7,88.9,93.8,96.2,91.7,3.2,1.2,5.6,0.9,1.2,1.2,1.3,1.7,5.2,5.6,6.8,10.6,5.8,3.4,7.9,0.1,0.1,0.2,0.1,0,0.1,0,0,0.1,0.2,0.5,0.5,0.4,0.4,0.4,
2011,Total,Municipal,91.8,94.7,84.9,98.2,95.8,90.1,95.7,94.5,82.3,87.1,80.6,67.9,83,89.8,0,6.9,4.7,12.2,1.2,3.7,9.4,3.7,4.8,15.1,9.7,13.5,23.2,11.4,6.8,0,1.3,0.6,2.9,0.6,0.5,0.5,0.6,0.7,2.6,3.2,5.9,8.9,5.6,3.4,0,
2011,Total,Federal,93.4,97.9,90.4,100,97.4,99.6,96.5,96.3,91.4,89,86,77.5,88.1,93.2,0,6.6,2,9.6,0,2.1,0.4,3.5,3.7,8.6,11,12.9,20.6,11.2,6.4,0,0,0.1,0,0,0.5,0,0,0,0,0,1.1,1.9,0.7,0.4,0,
2011,Total,Estadual,88.4,98.6,82.5,99.3,99.3,98,99.2,97.6,81,83.8,76.5,68.1,80.2,85.1,87.1,8.6,0.8,13.1,0,0.3,1.5,0.2,1.6,14.6,12.3,13.3,18.7,10.8,8.2,2.7,3,0.6,4.4,0.7,0.4,0.5,0.6,0.8,4.4,3.9,10.2,13.2,9,6.7,10.2,
2011,Rural,Total,92.9,95.4,86.8,98.1,95.6,92.5,96.3,95.3,81.8,92.3,87.3,81,90.4,93.2,0,5.4,3.8,9.4,0.9,3.7,6.8,2.8,3.8,14.1,4.4,6.4,10,4.2,3.7,0,1.7,0.8,3.8,1,0.7,0.7,0.9,0.9,4.1,3.3,6.3,9,5.4,3.1,0,
2011,Rural,Publico,92.9,95.4,86.7,98.2,95.6,92.5,96.3,95.3,81.8,92.3,87.1,80.7,90.2,93.2,0,5.4,3.8,9.4,0.9,3.7,6.8,2.8,3.8,14.1,4.4,6.5,10.2,4.1,3.7,0,1.7,0.8,3.9,0.9,0.7,0.7,0.9,0.9,4.1,3.3,6.4,9.1,5.7,3.1,0,
2011,Rural,Particular,94.8,98.6,93,95.1,100,97.6,100,100,90.8,92.4,91.8,88.4,94.3,93.2,0,4.4,1.4,5.7,4.9,0,2.4,0,0,8.5,6.5,5,6.5,4.7,3.6,0,0.8,0,1.3,0,0,0,0,0,0.7,1.1,3.2,5.1,1,3.2,0,
2011,Rural,Municipal,93.1,95.1,86.3,98,95.4,91.7,96.1,94.9,80.6,92.9,87,80.1,91.4,93.1,0,5.5,4.1,10.2,1,3.8,7.6,3.1,4.3,15.7,4.1,8,13.2,5.4,2.1,0,1.4,0.8,3.5,1,0.8,0.7,0.8,0.8,3.7,3,5,6.7,3.2,4.8,0,
2011,Rural,Federal,0,0,0,0,0,0,0,0,0,0,83.9,76.4,90.1,89.6,0,0,0,0,0,0,0,0,0,0,0,14,19.6,9,9.9,0,0,0,0,0,0,0,0,0,0,0,2.1,4,0.9,0.5,0,
