Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,83.2,87.9,77.3,98.5,79.7,85.5,88.6,89.9,72.6,81.8,72.6,63.1,76.3,84.6,0,14.1,11.1,17.9,0.5,19.4,13.6,10.5,8.7,22.4,12.9,17.1,24.2,14.8,8,0,2.7,1,4.8,1,0.9,0.9,0.9,1.4,5,5.3,10.3,12.7,8.9,7.4,0,
2011,Total,Publico,81.9,86.8,75.7,98.4,78,84.2,87.7,89,70.7,80.3,69.8,60.3,73.6,82.3,0,15.2,12.1,19.1,0.5,21.1,14.8,11.3,9.4,23.9,13.8,18.6,25.7,16.2,8.9,0,2.9,1.1,5.2,1.1,0.9,1,1,1.6,5.4,5.9,11.6,14,10.2,8.8,0,
2011,Total,Particular,96.9,98.2,95.1,99.1,96.9,98,98.5,98.6,95.8,95.2,93.1,88.9,94.2,96.8,0,2.9,1.6,4.7,0.4,3,2,1.4,1.4,4,4.6,6.5,10.6,5.5,3,0,0.2,0.2,0.2,0.5,0.1,0,0.1,0,0.2,0.2,0.4,0.5,0.3,0.2,0,
2011,Total,Municipal,86,87.6,82.9,98.3,79.2,85,88.4,90,75.8,91.4,96.8,93.8,97.7,100,0,12.3,11.3,14.3,0.6,19.8,14,10.6,8.6,20.3,6.3,2.4,4.2,2.3,0,0,1.7,1.1,2.8,1.1,1,1,1,1.4,3.9,2.3,0.8,2,0,0,0,
2011,Total,Federal,91.7,0,91.7,0,0,0,0,0,88.4,90.9,71.4,63.4,88.5,96.9,0,8.3,0,8.3,0,0,0,0,0,11.6,9.1,22.2,27.9,10.6,3.1,0,0,0,0,0,0,0,0,0,0,0,6.4,8.7,0.9,0,0,
2011,Total,Estadual,75.5,84.7,69.3,98.5,74.5,82.4,86.1,86.9,65.3,73.1,69.7,60.1,73.5,82.2,0,19.6,14.1,23.3,0.3,24.5,16.8,12.8,11,27.6,18.6,18.5,25.7,16.2,9,0,4.9,1.2,7.4,1.2,1,0.8,1.1,2.1,7.1,8.3,11.8,14.2,10.3,8.8,0,
2011,Rural,Total,81.3,83.1,78.5,96.1,73.6,80.6,84.2,85.8,70.3,88.1,77.4,68.8,79.9,90,0,14.8,14.5,15.3,1.4,24.6,17.2,13.4,11,21.8,7.1,11.2,16.4,9.3,4.2,0,3.9,2.4,6.2,2.5,1.8,2.2,2.4,3.2,7.9,4.8,11.4,14.8,10.8,5.8,0,
2011,Rural,Publico,81.1,83,78.1,96.1,73.5,80.5,84.1,85.6,69.9,87.8,76.1,67.6,78.9,88.8,0,15,14.6,15.5,1.4,24.7,17.4,13.4,11.1,22.1,7.2,11.8,17,9.7,4.5,0,3.9,2.4,6.4,2.5,1.8,2.1,2.5,3.3,8,5,12.1,15.4,11.4,6.7,0,
2011,Rural,Particular,97.7,99.5,96.8,100,96.7,100,100,100,93.3,100,92.9,86.8,93.7,97.8,0,2.1,0.5,3,0,3.3,0,0,0,5.6,0,4.9,8.8,3.6,2.2,0,0.2,0,0.2,0,0,0,0,0,1.1,0,2.2,4.4,2.7,0,0,
2011,Rural,Municipal,81.3,82.5,79.2,95.6,73.4,80.2,83.2,84.7,70.1,89.5,96.8,93.8,97.7,100,0,14.8,14.9,14.8,1.6,24.5,17.4,14.1,11.7,21.9,5.9,2.4,4.2,2.3,0,0,3.9,2.6,6,2.8,2.1,2.4,2.7,3.6,8,4.6,0.8,2,0,0,0,
2011,Rural,Federal,0,0,0,0,0,0,0,0,0,0,54.7,53.8,59.2,0,0,0,0,0,0,0,0,0,0,0,0,40.3,41,36.7,0,0,0,0,0,0,0,0,0,0,0,0,5,5.2,4.1,0,0,
2011,Rural,Estadual,80.3,85.9,74.9,98.8,74.2,82.4,88.9,90.3,69,83.6,76.9,68.7,79,88.5,0,15.5,13.1,17.7,0,25.3,17.1,9.8,7.7,22.7,10.5,10.2,14.3,9.1,4.6,0,4.2,1,7.4,1.2,0.5,0.5,1.3,2,8.3,5.9,12.9,17,11.9,6.9,0,
2011,Urbana,Total,83.5,88.6,77.1,98.8,80.7,86.2,89.2,90.4,72.9,81.1,72.3,62.7,76.1,84.3,0,14,10.6,18.2,0.4,18.6,13.1,10,8.3,22.5,13.5,17.5,24.7,15.1,8.2,0,2.5,0.8,4.7,0.8,0.7,0.7,0.8,1.3,4.6,5.4,10.2,12.6,8.8,7.5,0,
2011,Urbana,Publico,82,87.4,75.4,98.8,78.8,84.9,88.2,89.5,70.9,79.5,69.4,59.8,73.3,81.9,0,15.2,11.7,19.5,0.4,20.4,14.4,10.9,9.1,24.1,14.5,19,26.3,16.6,9.2,0,2.8,0.9,5.1,0.8,0.8,0.7,0.9,1.4,5,6,11.6,13.9,10.1,8.9,0,
2011,Urbana,Particular,96.9,98.2,95.1,99.1,96.9,98,98.5,98.5,95.9,95.1,93.2,88.9,94.3,96.8,0,2.9,1.6,4.8,0.4,3,2,1.4,1.4,3.9,4.7,6.6,10.7,5.5,3,0,0.2,0.2,0.1,0.5,0.1,0,0.1,0.1,0.2,0.2,0.2,0.4,0.2,0.2,0,
2011,Urbana,Municipal,87,88.7,83.6,98.9,80.5,86,89.4,91.1,77.2,91.8,0,0,0,0,0,11.8,10.6,14.2,0.4,18.8,13.3,9.9,7.9,20,6.4,0,0,0,0,0,1.2,0.7,2.2,0.7,0.7,0.7,0.7,1,2.8,1.8,0,0,0,0,0,
2011,Urbana,Federal,91.7,0,91.7,0,0,0,0,0,88.4,90.9,76.2,66.8,97,96.9,0,8.3,0,8.3,0,0,0,0,0,11.6,9.1,17,23.4,3,3.1,0,0,0,0,0,0,0,0,0,0,0,6.8,9.8,0,0,0,
2011,Urbana,Estadual,75.2,84.6,68.9,98.5,74.5,82.4,85.9,86.7,65.1,72.6,69.3,59.6,73.1,81.8,0,19.8,14.2,23.6,0.3,24.4,16.8,13,11.2,27.9,19,19,26.3,16.7,9.3,0,5,1.2,7.5,1.2,1.1,0.8,1.1,2.1,7,8.4,11.7,14.1,10.2,8.9,0,
2010,Rural,Estadual,98,73.7,85.3,89.8,89,71.3,74.7,75.4,87.6,80.7,68.3,80.4,88.3,0,76.7,0.1,25.5,13.5,8.6,9,21.5,18.6,16.5,9,15,17,9.7,4.5,0,11.9,1.9,0.8,1.2,1.6,2,7.2,6.7,8.1,3.4,4.3,14.7,9.9,7.2,0,11.4,
2010,Rural,Federal,0,0,0,0,0,0,0,0,0,0,60.7,0,0,0,60.7,0,0,0,0,0,0,0,0,0,0,38.6,0,0,0,38.6,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0.7,
2010,Rural,Municipal,95.6,71.5,79.6,79.9,81.6,70.1,77.2,82.2,87.8,79.7,81.4,91.4,100,0,89.3,1.6,26,18.5,17,14.5,23.5,16.7,11.3,7.3,16.3,9.3,0,0,0,3.9,2.8,2.5,1.9,3.1,3.9,6.4,6.1,6.5,4.9,4,9.3,8.6,0,0,6.8,
2010,Rural,Particular,100,100,97.7,100,98.1,97,99,96,99,98.1,94.5,93.9,94.5,0,94.3,0,0,2.3,0,1.9,3,1,4,0,1.7,2.2,4.9,3.7,0,3.5,0,0,0,0,0,0,0,0,1,0.2,3.3,1.2,1.8,0,2.2,
2010,Rural,Publico,95.9,71.8,80.4,81.2,82.5,70.4,76.6,80.3,87.7,79.9,68,80.7,88.6,0,76.5,1.4,25.9,17.8,15.9,13.8,23,17.2,12.7,7.7,16.1,18.3,9.5,4.4,0,12.5,2.7,2.3,1.8,2.9,3.7,6.6,6.2,7,4.6,4,13.7,9.8,7,0,11,
