Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,95.3,96.6,93.8,98.9,97.2,93.7,96.8,96.6,92,90.3,70.3,62.2,73.8,79.9,75,3.6,2.8,4.6,0.5,2.3,5.7,2.7,2.6,6.7,7.1,18.2,24.2,16,10.8,14,1.1,0.6,1.6,0.6,0.5,0.6,0.5,0.8,1.3,2.6,11.5,13.6,10.2,9.3,11,
2011,Total,Publico,95.1,96.4,93.6,99,97,93.3,96.6,96.4,91.5,89.7,68,59.8,71.7,77.7,73.7,3.8,3,4.7,0.4,2.4,6.1,2.9,2.7,7.1,7.5,19.5,25.6,17.2,11.8,14.5,1.1,0.6,1.7,0.6,0.6,0.6,0.5,0.9,1.4,2.8,12.5,14.6,11.1,10.5,11.8,
2011,Total,Particular,97.7,98.6,96.6,98.5,98.7,98.7,98.8,98.5,97.4,96.5,94.8,92.6,94.8,97.6,94.1,2.1,1.2,3.3,1.1,1.3,1.1,1.1,1.5,2.5,3.3,4.7,6.8,4.7,2,5.9,0.2,0.2,0.1,0.4,0,0.2,0.1,0,0.1,0.2,0.5,0.6,0.5,0.4,0,
2011,Total,Municipal,93.5,95,90.2,98.7,95.9,91.2,94.6,94.9,88.4,91.6,98.1,95.7,100,100,0,5,4.1,7,0.5,3.4,8.1,4.6,4,9.3,4.6,1.9,4.3,0,0,0,1.5,0.9,2.8,0.8,0.7,0.7,0.8,1.1,2.3,3.8,0,0,0,0,0,
2011,Total,Federal,0,0,0,0,0,0,0,0,0,0,84.3,78.5,86.8,94.2,0,0,0,0,0,0,0,0,0,0,0,13.6,18.4,11.6,5.5,0,0,0,0,0,0,0,0,0,0,0,2.1,3.1,1.6,0.3,0,
2011,Total,Estadual,96.8,99.2,95.4,99.9,99.9,98.2,100,98.5,94.4,89,67.7,59.5,71.3,77.5,73.7,2.5,0.6,3.6,0.1,0.1,1.6,0,0.8,5,8.6,19.6,25.7,17.3,11.9,14.5,0.7,0.2,1,0,0,0.2,0,0.7,0.6,2.4,12.7,14.8,11.4,10.6,11.8,
2011,Rural,Total,93,94.7,90.8,97.4,95.6,91.8,95.7,93.6,88.7,89.5,77.9,71.7,81.8,86.8,75.8,4.3,3.7,5.1,1,3.1,6.9,2.9,3.9,8.4,5.3,10.7,14.8,7.5,4.6,13.8,2.7,1.6,4.1,1.6,1.3,1.3,1.4,2.5,2.9,5.2,11.4,13.5,10.7,8.6,10.4,
2011,Rural,Publico,93,94.7,90.8,97.5,95.6,91.8,95.7,93.6,88.7,89.5,77.9,71.7,81.8,86.8,75.8,4.3,3.7,5.1,1,3.1,6.9,2.9,3.9,8.4,5.3,10.7,14.8,7.6,4.6,13.8,2.7,1.6,4.1,1.5,1.3,1.3,1.4,2.5,2.9,5.2,11.4,13.5,10.6,8.6,10.4,
2011,Rural,Particular,96.8,96.2,97.7,87.5,100,100,100,92.9,100,100,95.7,83.3,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,3.8,2.3,12.5,0,0,0,7.1,0,0,4.3,16.7,0,0,0,
2011,Rural,Municipal,92.5,94,90.2,97,94.2,90.2,94.2,94.6,87.8,91.7,98.1,95.7,100,100,0,4.7,4.2,5.3,1.2,4.1,8.2,3.9,3.5,8.3,2.9,1.9,4.3,0,0,0,2.8,1.8,4.5,1.8,1.7,1.6,1.9,1.9,3.9,5.4,0,0,0,0,0,
