Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,84,86.3,80.3,94.7,90.4,80.7,83.3,85.1,76.1,83.6,69.9,65.5,72.7,73.1,87.7,10.9,9.6,12.9,1.2,6,15.2,12.8,10.5,16.2,10.3,12.4,13.8,10.6,12.3,7.1,5.1,4.1,6.8,4.1,3.6,4.1,3.9,4.4,7.7,6.1,17.7,20.7,16.7,14.6,5.2,
2011,Total,Publico,83,85.6,79,94.5,90,79.7,82.4,84.3,74.7,82.3,67.6,63.1,70.4,70.8,82.6,11.5,10.1,13.6,1.1,6.2,16,13.5,11,17,10.9,13.1,14.4,11.4,13.2,9.8,5.5,4.3,7.4,4.4,3.8,4.3,4.1,4.7,8.3,6.8,19.3,22.5,18.2,16,7.6,
2011,Total,Particular,96.4,97.4,95.1,96.7,97.6,97.6,97.7,97.6,95.3,94.7,94.9,93.2,96.4,95.2,99.2,3.2,2.1,4.6,2.2,1.9,2,2,2.3,4.4,4.9,4.6,6,3.1,4.4,0.8,0.4,0.5,0.3,1.1,0.5,0.4,0.3,0.1,0.3,0.4,0.5,0.8,0.5,0.4,0,
2011,Total,Municipal,84.2,85.4,81.8,94.4,89.4,80.5,80.6,84.4,76.6,87.3,57.1,26.2,67.1,67.2,0,10.5,10.3,10.9,1.2,6.7,15.4,15,11,15.1,6.4,33.4,67.9,30,29.3,0,5.3,4.3,7.3,4.4,3.9,4.1,4.4,4.6,8.3,6.3,9.5,5.9,2.9,3.5,0,
2011,Total,Federal,90.4,97.9,85.8,98,100,99.3,98.9,94.4,90.2,81.2,79.5,75.1,77,90.7,84.8,9.4,2.1,13.9,2,0,0.7,1.1,5.6,9.5,18.2,13.5,14.4,15.3,6.3,12.1,0.2,0,0.3,0,0,0,0,0,0.3,0.6,7,10.5,7.7,3,3.1,
2011,Total,Estadual,77.6,87.3,72.6,97.1,96.6,72.7,95.4,83.6,69.7,73,67.5,63,70.3,70.7,76.8,15.8,8.8,19.5,0.1,1,21.2,2.3,11.4,21.9,19.2,13.1,14.4,11.3,13.2,3.7,6.6,3.9,7.9,2.8,2.4,6.1,2.3,5,8.4,7.8,19.4,22.6,18.4,16.1,19.5,
2011,Rural,Total,82.5,82.9,81.5,92.9,88.2,79,76.9,80.5,76.5,86.1,71.2,66.6,72.7,75.5,99.6,10.9,11.4,9.8,1.5,6.8,15.6,17.2,13.1,13.6,6.6,10.6,11.2,9.9,11.1,0.4,6.6,5.7,8.7,5.6,5,5.4,5.9,6.4,9.9,7.3,18.2,22.2,17.4,13.4,0,
2011,Rural,Publico,82.5,82.9,81.5,92.9,88.2,79,76.9,80.5,76.4,86,70.8,66.4,72.3,75.4,100,10.9,11.4,9.8,1.5,6.8,15.5,17.2,13.1,13.6,6.7,10.8,11.3,10,11.1,0,6.6,5.7,8.7,5.6,5,5.5,5.9,6.4,10,7.3,18.4,22.3,17.7,13.5,0,
2011,Rural,Particular,89.3,87,93.9,95.3,98.3,71.6,82.3,82.2,90.7,97.9,87.9,77.5,87.7,97.9,99.2,9.3,11.2,5.5,2.1,0.4,25.6,16.6,16.6,8,2.1,3.7,7.7,2.6,2.1,0.8,1.4,1.8,0.6,2.6,1.3,2.8,1.1,1.2,1.3,0,8.4,14.8,9.7,0,0,
2011,Rural,Municipal,82.9,82.9,82.7,92.8,88.1,79.1,76.4,80.7,77.2,88.5,84.4,0,94.6,100,0,10.6,11.4,8.4,1.5,6.9,15.5,17.7,12.9,12.6,4.3,0.7,0,0,0,0,6.5,5.7,8.9,5.7,5,5.4,5.9,6.4,10.2,7.2,14.9,0,5.4,0,0,
