Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,81.5,86.6,75,92.3,85.5,84.1,85.5,86.9,66.6,83.2,76,67.7,79,85.4,39.3,11.9,9.7,14.7,4.2,10.8,12.6,10.9,9,20.5,8.4,7.7,10.9,6.8,3.6,3.6,6.6,3.7,10.3,3.5,3.7,3.3,3.6,4.1,12.9,8.4,16.3,21.4,14.2,11,57.1,
2011,Total,Publico,79,84.6,72.3,91.4,83.4,81.6,83.4,85,63.3,81.3,72.9,64.3,76.3,82.9,39.3,13.3,11.1,16,4.6,12.3,14.6,12.5,10.2,22.4,8.8,8.1,11.3,7.1,4,3.6,7.7,4.3,11.7,4,4.3,3.8,4.1,4.8,14.3,9.9,19,24.4,16.6,13.1,57.1,
2011,Total,Particular,96.2,97.5,94.3,96.2,97.3,98.1,98.1,97.8,94.9,94.1,94,91.3,93.6,97.6,0,3.3,2.1,5.4,3,2.2,1.6,1.6,1.9,4.7,5.6,5.3,8.2,5.2,1.9,0,0.5,0.4,0.3,0.8,0.5,0.3,0.3,0.3,0.4,0.3,0.7,0.5,1.2,0.5,0,
2011,Total,Municipal,80.9,84.5,74.7,92,82.2,81.2,83.7,85.3,66.3,84.6,76.6,65.5,82.9,87.5,0,13.2,11.6,15.9,4.6,13.9,15.2,12.7,10.3,22,8,6.7,11.1,4.5,2.5,0,5.9,3.9,9.4,3.4,3.9,3.6,3.6,4.4,11.7,7.4,16.7,23.4,12.6,10,0,
2011,Total,Federal,69.1,69.1,0,80,90,50,37.5,80,0,0,82.3,74.5,82.6,90.3,0,1.8,1.8,0,0,0,0,0,20,0,0,12.4,18.1,11.3,7.2,0,29.1,29.1,0,20,10,50,62.5,0,0,0,5.3,7.4,6.1,2.5,0,
2011,Total,Estadual,75.3,84.9,69.4,88.9,87.9,82.9,82.4,84.3,59.3,78.2,72.5,64,75.9,82.7,39.3,13.6,9.5,16.1,4.5,6.4,12.6,12,9.9,22.8,9.6,8,11.1,7.1,4,3.6,11.1,5.6,14.5,6.6,5.7,4.5,5.6,5.8,17.9,12.2,19.5,24.9,17,13.3,57.1,
2011,Rural,Total,82.5,84.6,74.7,92,82.2,81.9,83.1,85.3,66.5,84.2,75.7,67.4,77.2,86.1,0,12.3,11.8,14.3,5,14.5,14.6,13.1,10.2,21,6.4,7.2,10.2,6.3,3.7,0,5.2,3.6,11,3,3.3,3.5,3.8,4.5,12.5,9.4,17.1,22.4,16.5,10.2,0,
2011,Rural,Publico,82.5,84.5,74.7,91.9,82.1,81.9,83,85.3,66.5,84.1,75.7,67.4,77.2,86.1,0,12.3,11.8,14.3,5.1,14.5,14.6,13.1,10.2,21,6.4,7.2,10.2,6.3,3.7,0,5.2,3.7,11,3,3.4,3.5,3.9,4.5,12.5,9.5,17.1,22.4,16.5,10.2,0,
2011,Rural,Particular,94.3,98.5,80,100,97.6,100,96.1,98.2,72,90.5,0,0,0,0,0,5.7,1.5,20,0,2.4,0,3.9,1.8,28,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,Rural,Municipal,82.8,84.6,75,92.3,81.8,81.6,83.1,85.5,66.2,85.2,90.2,84,94.4,92.6,0,12.5,12,14.5,4.9,14.9,15,13.3,10.2,21.2,6.3,3.7,6.7,1.4,2.9,0,4.7,3.4,10.5,2.8,3.3,3.4,3.6,4.3,12.6,8.5,6.1,9.3,4.2,4.5,0,
