Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,84.2,88.8,78.7,95.7,94,80,91,85.7,74.5,80.3,79.9,75.4,81.7,83.5,77.8,11.7,9,14.8,2,4.1,17.8,7,11.8,18.6,11.8,10,13.3,10.3,6.1,5.1,4.1,2.2,6.5,2.3,1.9,2.2,2,2.5,6.9,7.9,10.1,11.3,8,10.4,17.1,
2011,Total,Publico,81.5,86.5,76,95.6,93.1,75.4,89.2,82.9,71,78.2,78.1,73.6,79.7,81.7,76.9,13.5,10.8,16.4,1.6,4.6,21.8,8.3,14.1,21,12.6,10.6,13.9,11.1,6.6,5,5,2.7,7.6,2.8,2.3,2.8,2.5,3,8,9.2,11.3,12.5,9.2,11.7,18.1,
2011,Total,Particular,95.6,96.9,93.6,96,97,97.3,97.1,96.9,94.3,92,93.4,90.2,93.8,96.7,92.1,3.9,2.7,5.9,3.2,2.5,2.3,2.6,2.9,5.2,7.3,5.6,8.8,5.2,2.5,6.6,0.5,0.4,0.5,0.8,0.5,0.4,0.3,0.2,0.5,0.7,1,1,1,0.8,1.3,
2011,Total,Municipal,82.5,86.5,74.3,95.7,92.9,75.3,88.5,82.9,69.6,79.3,73.1,58,77.8,81.9,0,12.8,10.8,17,1.6,4.8,21.9,8.9,14.1,21.5,11.4,7.7,11.4,8.9,4.8,0,4.7,2.7,8.7,2.7,2.3,2.8,2.6,3,8.9,9.3,19.2,30.6,13.3,13.3,0,
2011,Total,Federal,93.5,0,93.5,0,0,0,0,0,89.1,94.6,71.6,73.1,71.9,72.2,73.5,6.5,0,6.5,0,0,0,0,0,10.9,5.4,26.1,22.1,27.8,27.4,21.4,0,0,0,0,0,0,0,0,0,0,2.3,4.8,0.3,0.4,5.1,
2011,Total,Estadual,78.9,86.9,77.5,91.5,95.3,76.6,96.2,83.1,72.8,77.4,78.3,73.8,79.9,81.8,77.1,15.2,10.7,15.9,4.6,2.4,21.2,2.2,14.1,20.4,13.4,10.4,13.8,10.9,6.4,3.9,5.9,2.4,6.6,3.9,2.3,2.2,1.6,2.8,6.8,9.2,11.3,12.4,9.2,11.8,19,
2011,Rural,Total,83.4,85.9,77.8,95.1,91.7,76.6,86.6,82.1,71.4,84.2,79.9,75.6,80.8,85.5,71.3,12.5,11.4,14.9,2.5,6.1,20.7,10.7,14.9,20.6,8.6,9.6,12.2,9.7,4.8,21.5,4.1,2.7,7.3,2.4,2.2,2.7,2.7,3,8,7.2,10.5,12.2,9.5,9.7,7.2,
2011,Rural,Publico,83.4,85.9,77.7,95.3,91.7,76.4,86.6,82,71.4,84.1,79.9,75.6,80.8,85.5,71.3,12.5,11.4,14.9,2.3,6.1,20.8,10.7,14.9,20.6,8.6,9.5,12.2,9.7,4.8,21.5,4.1,2.7,7.4,2.4,2.2,2.8,2.7,3.1,8,7.3,10.6,12.2,9.5,9.7,7.2,
2011,Rural,Particular,87.9,88.1,87.5,81.9,90.5,89.2,89.3,90.4,75,98.9,76,75,76.9,0,0,11.3,11.1,11.8,17.1,8.8,9.7,9.9,9.1,24.5,1.1,22,25,19.2,0,0,0.8,0.8,0.7,1,0.7,1.1,0.8,0.5,0.5,0,2,0,3.9,0,0,
2011,Rural,Municipal,83.8,86.1,77.5,95.5,91.9,76.7,86.5,82.2,71.2,85,80.7,73.3,81.8,91.5,0,12.3,11.3,15.1,2,6,20.5,10.7,14.8,21,8.1,10.8,15.2,11.6,2.4,0,3.9,2.6,7.4,2.5,2.1,2.8,2.8,3,7.8,6.9,8.5,11.5,6.6,6.1,0,
2011,Rural,Federal,0,0,0,0,0,0,0,0,0,0,85.4,79.2,92,90.8,100,0,0,0,0,0,0,0,0,0,0,11.5,14.7,8,8.9,0,0,0,0,0,0,0,0,0,0,0,3.1,6.1,0,0.3,0,
2011,Rural,Estadual,79.5,81,78.8,87.9,86.2,70.7,87.2,77.7,72.6,81.4,79.5,75.5,80.2,85,70.5,14.5,15.3,14.1,8.6,9.8,26.1,9.9,17.6,18.8,10.4,9.4,11.9,9.7,4.6,22.1,6,3.7,7.1,3.5,4,3.2,2.9,4.7,8.6,8.2,11.1,12.6,10.1,10.4,7.4,
2011,Urbana,Total,84.3,89.8,78.8,95.9,94.8,81.1,92.5,87,75.1,79.8,79.9,75.4,81.8,83.3,78.3,11.5,8.2,14.8,1.9,3.4,16.8,5.7,10.8,18.3,12.2,10,13.4,10.3,6.2,4,4.2,2,6.4,2.2,1.8,2.1,1.8,2.2,6.6,8,10.1,11.2,7.9,10.5,17.7,
2011,Urbana,Publico,80.8,86.9,75.6,95.8,93.8,75,90.6,83.3,70.9,77.3,78,73.4,79.6,81.5,77.3,13.8,10.5,16.7,1.3,3.9,22.3,7.1,13.7,21.1,13.2,10.7,14,11.2,6.7,3.8,5.4,2.6,7.7,2.9,2.3,2.7,2.3,3,8,9.5,11.3,12.6,9.2,11.8,18.9,
2011,Urbana,Particular,95.7,97,93.6,96.2,97.1,97.4,97.2,97,94.5,92,93.4,90.2,93.8,96.7,92.1,3.8,2.6,5.9,3,2.5,2.3,2.5,2.8,5,7.3,5.6,8.7,5.1,2.5,6.6,0.5,0.4,0.5,0.8,0.4,0.3,0.3,0.2,0.5,0.7,1,1.1,1.1,0.8,1.3,
2011,Urbana,Municipal,81.9,86.7,73.2,95.8,93.5,74.7,89.6,83.2,69,77.3,71.5,53.8,76.4,80.1,0,13.1,10.6,17.6,1.3,4.1,22.5,7.9,13.7,21.7,12.5,7.1,10.3,8,5.3,0,5,2.7,9.2,2.9,2.4,2.8,2.5,3.1,9.3,10.2,21.4,35.9,15.6,14.6,0,
2011,Urbana,Federal,93.5,0,93.5,0,0,0,0,0,89.1,94.6,67.7,70.5,66.7,65.5,72.7,6.5,0,6.5,0,0,0,0,0,10.9,5.4,30.2,25.2,32.9,34.1,22,0,0,0,0,0,0,0,0,0,0,2.1,4.3,0.4,0.4,5.3,
2011,Urbana,Estadual,78.8,88.1,77.4,95,97.5,77.8,97.8,83.8,72.8,77.2,78.2,73.6,79.8,81.6,77.6,15.3,9.8,16.1,0.7,0.7,20.3,0.9,13.6,20.6,13.6,10.4,13.9,11,6.5,2.4,5.9,2.1,6.5,4.3,1.8,1.9,1.3,2.6,6.6,9.2,11.4,12.5,9.2,11.9,20,
2010,Rural,Estadual,94,83.6,71.4,88,76.5,74.7,80.8,84.3,83.2,80.4,78.5,81.6,86.9,83.8,82,2.2,12.4,25.5,8.2,19,18.4,14.1,11.7,12.4,14.8,9.5,7.5,5.1,0,7.3,3.8,4,3.1,3.8,4.5,6.9,5.1,4,4.4,4.8,12,10.9,8,16.2,10.7,
2010,Rural,Federal,0,0,0,0,0,0,0,0,0,0,65.4,85.3,87.2,0,78.7,0,0,0,0,0,0,0,0,0,0,32.4,14.1,11.7,0,20,0,0,0,0,0,0,0,0,0,0,2.2,0.6,1.1,0,1.3,
2010,Rural,Municipal,95.3,86.5,76.5,84,82.5,70.8,76.8,81.9,84.3,82.5,66.8,79,87.4,100,76,2,10.6,20.5,12.8,13.8,20.3,14.7,10.2,8.1,13,17.5,9.2,4.3,0,11.6,2.7,2.9,3,3.2,3.7,8.9,8.5,7.9,7.6,4.5,15.7,11.8,8.3,0,12.4,
