Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,83.9,86,81.1,91.5,85.3,82.8,85.6,86,74.1,89,74.8,65,77.5,84.8,85,12.8,11.8,14.3,6.6,12.7,15.1,12.1,11.4,20.5,7,9.7,14.4,8.2,4.9,3,3.3,2.2,4.6,1.9,2,2.1,2.3,2.6,5.4,4,15.5,20.6,14.3,10.3,12,
2011,Total,Publico,82.6,84.7,79.7,90.8,83.8,81.2,84.4,84.8,72.2,88.5,72.6,62.4,75.6,83.1,85.1,13.9,12.9,15.2,7.2,14,16.6,13.1,12.4,21.9,7,10.1,14.8,8.4,5.3,2,3.5,2.4,5.1,2,2.2,2.2,2.5,2.8,5.9,4.5,17.3,22.8,16,11.6,12.9,
2011,Total,Particular,94.9,96.8,92.3,96.5,97.2,97.4,96.6,96.6,92.2,92,92.4,88.7,92.2,96.7,84,4.6,2.7,7,2.9,2.5,2.2,3,3,7.2,6.9,6.6,10.4,6.8,2.2,12,0.5,0.5,0.7,0.6,0.3,0.4,0.4,0.4,0.6,1.1,1,0.9,1,1.1,4,
2011,Total,Municipal,83.1,84.9,80,90.8,84.3,81.2,84.6,84.8,72.4,89.6,80.4,71.7,83,89.7,64.5,13.5,12.8,14.8,7.2,13.6,16.7,13,12.4,21.8,5.7,5.8,10.1,5,0.6,12.9,3.4,2.3,5.2,2,2.1,2.1,2.4,2.8,5.8,4.7,13.8,18.2,12,9.7,22.6,
2011,Total,Federal,70,70,0,70,0,0,0,0,0,0,83.1,78.2,87.3,86.3,0,20,20,0,20,0,0,0,0,0,0,14.1,17.2,11.5,11.4,0,10,10,0,10,0,0,0,0,0,0,2.8,4.6,1.2,2.3,0,
2011,Total,Estadual,80.5,83.1,78.9,91.4,79.5,80.9,83.5,84.8,71.6,86.2,72.2,61.9,75.2,83,86.5,15.4,13.8,16.3,6.2,16.8,15.7,13.4,12.4,22.5,9.8,10,14.8,8.3,5.3,1.3,4.1,3.1,4.8,2.4,3.7,3.4,3.1,2.8,5.9,4,17.8,23.3,16.5,11.7,12.2,
2011,Rural,Total,82.4,83.4,80.2,88.5,81.9,80.8,82.8,84,72.2,89.1,77.2,69.8,78.4,84.5,64.5,13.6,13.9,13,9,15.9,16.8,14.4,12.3,20.7,4.4,6.7,9,6.8,3.7,12.9,4,2.7,6.8,2.5,2.2,2.4,2.8,3.7,7.1,6.5,16.1,21.2,14.8,11.8,22.6,
2011,Rural,Publico,82.3,83.4,80.2,88.5,81.9,80.8,82.7,84,72.1,89.1,76.1,69,77.7,83.8,64.5,13.6,13.9,13.1,9,15.9,16.8,14.4,12.4,20.7,4.4,7,9.2,7.1,3.9,12.9,4.1,2.7,6.7,2.5,2.2,2.4,2.9,3.6,7.2,6.5,16.9,21.8,15.2,12.3,22.6,
2011,Rural,Particular,95,95.4,94.6,91.7,92.2,96.4,95.5,100,88.7,96.9,95.4,91.6,95.1,96.1,0,4.4,4.6,4.3,8.3,7.8,3.6,4.5,0,8.5,3.1,1.3,4.2,1,0,0,0.6,0,1.1,0,0,0,0,0,2.8,0,3.3,4.2,3.9,3.9,0,
2011,Rural,Municipal,82.3,83.4,80.1,88.5,81.9,80.7,82.7,84,72,89.1,75.3,69.7,75.5,82.8,64.5,13.7,13.9,13.1,9,16,16.9,14.4,12.4,20.8,4.3,2.5,3.3,1.9,0.5,12.9,4,2.7,6.8,2.5,2.1,2.4,2.9,3.6,7.2,6.6,22.2,27,22.6,16.7,22.6,
