Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,88.9,94,83.6,98,91.2,90.6,95.2,96.2,83.6,84.8,81.4,74.9,82.7,88.3,98,9.5,5.8,13.2,1.8,8.6,9.2,4.6,3.5,14,11,12.6,17.8,11.6,7.1,1.2,1.6,0.2,3.2,0.2,0.2,0.2,0.2,0.3,2.4,4.2,6,7.3,5.7,4.6,0.8,
2011,Total,Publico,87.8,93.4,82.2,97.9,90.3,89.6,94.7,95.9,82.1,83.5,79.4,72.6,80.7,86.7,98.7,10.3,6.4,14.2,1.9,9.5,10.2,5.1,3.8,15.2,11.8,13.8,19.2,12.8,8,0,1.9,0.2,3.6,0.2,0.2,0.2,0.2,0.3,2.7,4.7,6.8,8.2,6.5,5.3,1.3,
2011,Total,Particular,97.4,98.4,96.1,98.7,97.4,98.4,99.1,98.5,96.7,96,95.5,92.3,96.2,98.5,97.3,2.5,1.5,3.8,1.1,2.6,1.6,0.9,1.5,3.2,3.8,4.1,7.1,3.5,1.1,2.3,0.1,0.1,0.1,0.2,0,0,0,0,0.1,0.2,0.4,0.6,0.3,0.4,0.4,
2011,Total,Municipal,93.2,93.5,84,97.9,90.3,89.6,94.7,96.1,80.8,91.2,0,0,0,0,0,6.5,6.3,14.2,1.8,9.5,10.2,5.1,3.6,17.5,7.2,0,0,0,0,0,0.3,0.2,1.8,0.3,0.2,0.2,0.2,0.3,1.7,1.6,0,0,0,0,0,
2011,Total,Federal,95.4,0,95.4,0,0,0,0,0,90.5,93.4,89.6,80.1,85.3,93.2,98.7,4.6,0,4.6,0,0,0,0,0,9.5,6.6,8.9,18.7,12.9,5.3,0,0,0,0,0,0,0,0,0,0,0,1.5,1.2,1.8,1.5,1.3,
2011,Total,Estadual,82.2,89.5,82.2,87.4,86.9,87.4,93.8,88.3,82.2,83.3,79.3,72.6,80.7,86.7,0,14.2,8.9,14.2,7.9,10.5,10.4,4.7,10.8,15.2,11.9,13.9,19.2,12.8,8,0,3.6,1.6,3.6,4.7,2.6,2.2,1.5,0.9,2.6,4.8,6.8,8.2,6.5,5.3,0,
2011,Rural,Total,90.6,92.5,87.9,96.9,89.2,89.4,93.5,94.4,86.1,90.6,88.2,83.6,89.1,94.2,0,8,7.1,9.3,2.4,10.5,10.3,6,5.1,11.5,6.1,6.8,10.3,5.7,2.9,0,1.4,0.4,2.8,0.7,0.3,0.3,0.5,0.5,2.4,3.3,5,6.1,5.2,2.9,0,
2011,Rural,Publico,90.6,92.5,87.9,96.9,89.2,89.4,93.5,94.4,86,90.6,88,83.4,88.8,94,0,8,7.1,9.3,2.4,10.5,10.4,6,5.1,11.5,6.1,6.9,10.3,5.8,3,0,1.4,0.4,2.8,0.7,0.3,0.2,0.5,0.5,2.5,3.3,5.1,6.3,5.4,3,0,
2011,Rural,Particular,93.3,93.4,93.3,100,86.7,93.2,94,94.4,97,91.1,95.3,89.1,97.8,100,0,6.1,5.9,6.4,0,13.3,5.7,4.8,4.2,3,8.9,4.7,10.9,2.2,0,0,0.6,0.7,0.3,0,0,1.1,1.2,1.4,0,0,0,0,0,0,0,
2011,Rural,Municipal,92.6,92.8,85.3,97.4,89.3,89.6,94,95,81.3,95.6,0,0,0,0,0,7,6.9,11.9,2.1,10.5,10.3,5.6,4.6,16.2,3.3,0,0,0,0,0,0.4,0.3,2.8,0.5,0.2,0.1,0.4,0.4,2.5,1.1,0,0,0,0,0,
