Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,84.8,88.2,80.7,89.4,89.3,83.6,88.6,90.3,78,84.8,71.4,61.4,73.6,84.5,84,13.1,10.7,15.9,9,9.8,15.4,10.3,8.5,18.3,12,18.5,25.7,17.3,9,6,2.1,1.1,3.4,1.6,0.9,1,1.1,1.2,3.7,3.2,10.1,12.9,9.1,6.5,10,
2011,Total,Publico,82.4,86.1,78.2,88.1,87.2,80.5,86.7,88.7,75,83,67.9,57.5,70.1,81.8,83.2,14.9,12.5,17.7,10,11.7,18.2,12.1,9.8,20.6,12.9,20.1,27.5,18.9,10.2,6.1,2.7,1.4,4.1,1.9,1.1,1.3,1.2,1.5,4.4,4.1,12,15,11,8,10.7,
2011,Total,Particular,94.2,96.3,91.7,93.6,97.1,97.1,96.9,96.8,92.7,91.2,89.6,84.4,90.4,95.5,93.7,5.5,3.4,8.1,5.7,2.5,2.6,2.9,3,7,8.6,9.9,14.8,9.2,4.3,4.5,0.3,0.3,0.2,0.7,0.4,0.3,0.2,0.2,0.3,0.2,0.5,0.8,0.4,0.2,1.8,
2011,Total,Municipal,84.5,86.2,81.5,88.2,87.1,80.7,86.2,89.6,77.6,88.2,75.4,64.9,77.7,87,0,13.6,12.4,15.7,10,11.8,18.1,12.5,9,18.9,9.7,18.9,28.4,15.4,10,0,1.9,1.4,2.8,1.8,1.1,1.2,1.3,1.4,3.5,2.1,5.7,6.7,6.9,3,0,
2011,Total,Federal,89.2,92.3,87.8,89.6,91.9,92.8,93.6,93.1,86.9,88.3,86,79.8,86.8,91.9,86.7,10.6,7.4,12,10.2,8.1,7.1,6,6.2,12.9,11.5,12.8,18.7,11.5,7.3,12.4,0.2,0.3,0.2,0.2,0,0.1,0.4,0.7,0.2,0.2,1.2,1.5,1.7,0.8,0.9,
2011,Total,Estadual,74.6,83.9,73.3,84,91.4,76.3,92.7,80.6,70.1,77.1,67.3,57.1,69.6,81.4,82.4,20,14.4,20.9,11.3,7,22.2,5.7,17.6,23.8,16.5,20.3,27.6,19.1,10.3,4.7,5.4,1.7,5.8,4.7,1.6,1.5,1.6,1.8,6.1,6.4,12.4,15.3,11.3,8.3,12.9,
2011,Rural,Total,81.5,82.9,78.2,81.5,79.4,81.2,85.2,87.6,74.2,85.3,77.3,69.4,80.7,88.2,78.3,16.8,16,18.6,17.3,19.8,17.8,13.7,11.3,22.3,11.7,12,18,9,4.4,9.9,1.7,1.1,3.2,1.2,0.8,1,1.1,1.1,3.5,3,10.7,12.6,10.3,7.4,11.8,
2011,Rural,Publico,81,82.5,77.7,81.2,79,80.7,84.8,87.2,73.6,85.1,76.5,68.4,80,87.7,78.3,17.2,16.4,19,17.6,20.3,18.2,14.1,11.6,22.8,11.9,12.1,18.3,9.1,4.3,9.9,1.8,1.1,3.3,1.2,0.7,1.1,1.1,1.2,3.6,3,11.4,13.3,10.9,8,11.8,
2011,Rural,Particular,94.5,95.6,92.5,91.3,95,95.7,97.9,99,93.1,91.7,90.4,86.3,91.8,94.4,0,5.2,4.2,7.1,8.2,4.8,4.2,2.1,1,6.7,7.9,9,12.8,7.7,5.6,0,0.3,0.2,0.4,0.5,0.2,0.1,0,0,0.2,0.4,0.6,0.9,0.5,0,0,
2011,Rural,Municipal,81.5,82.6,78.2,81.3,78.9,80.7,84.6,87.7,73.4,87.4,87.3,66.7,84.6,95.7,0,17.1,16.4,19.3,17.5,20.3,18.2,14.3,11.2,23.7,10.4,8.5,27.8,0,4.3,0,1.4,1,2.5,1.2,0.8,1.1,1.1,1.1,2.9,2.2,4.2,5.5,15.4,0,0,
2011,Rural,Federal,0,0,0,0,0,0,0,0,0,0,85.2,83.5,88.6,83.9,0,0,0,0,0,0,0,0,0,0,0,9,8.2,10,8.9,0,0,0,0,0,0,0,0,0,0,0,5.8,8.3,1.4,7.2,0,
2011,Rural,Estadual,77.2,81.1,76.7,40.6,85.2,77.9,91.6,77.5,74.1,81.6,76.2,68.1,79.8,87.7,78.3,18.3,16.5,18.5,43.8,11.1,19.8,6.2,20.6,20.7,14.2,12.3,18.5,9.1,4.2,9.9,4.5,2.4,4.8,15.6,3.7,2.3,2.2,1.9,5.2,4.2,11.5,13.4,11.1,8.1,11.8,
2011,Urbana,Total,85,88.6,80.8,90.1,90.1,83.8,88.9,90.5,78.2,84.7,71.3,61.3,73.4,84.4,84.1,12.9,10.2,15.8,8.3,8.9,15.2,10,8.3,18.1,12,18.6,25.8,17.4,9.1,6,2.1,1.2,3.4,1.6,1,1,1.1,1.2,3.7,3.3,10.1,12.9,9.2,6.5,9.9,
2011,Urbana,Publico,82.6,86.5,78.2,88.9,88,80.5,86.8,88.9,75.1,82.9,67.7,57.3,69.9,81.7,83.2,14.8,12.1,17.7,9.2,10.8,18.2,11.9,9.6,20.5,12.9,20.3,27.7,19.1,10.3,6.1,2.6,1.4,4.1,1.9,1.2,1.3,1.3,1.5,4.4,4.2,12,15,11,8,10.7,
2011,Urbana,Particular,94.2,96.3,91.6,93.6,97.1,97.2,96.9,96.8,92.7,91.2,89.6,84.4,90.3,95.5,93.7,5.5,3.3,8.1,5.7,2.5,2.6,2.9,3,7,8.6,9.9,14.8,9.2,4.2,4.5,0.3,0.4,0.3,0.7,0.4,0.2,0.2,0.2,0.3,0.2,0.5,0.8,0.5,0.3,1.8,
2011,Urbana,Municipal,84.8,86.6,81.6,89,87.9,80.7,86.4,89.8,77.9,88.2,75.3,64.9,77.7,86.9,0,13.3,12,15.5,9.1,10.9,18.1,12.3,8.8,18.6,9.6,19.1,28.4,15.5,10.1,0,1.9,1.4,2.9,1.9,1.2,1.2,1.3,1.4,3.5,2.2,5.6,6.7,6.8,3,0,
2011,Urbana,Federal,89.2,92.3,87.8,89.6,91.9,92.8,93.6,93.1,86.9,88.3,86,79.7,86.7,92,86.7,10.6,7.4,12,10.2,8.1,7.1,6,6.2,12.9,11.5,12.8,19,11.5,7.3,12.4,0.2,0.3,0.2,0.2,0,0.1,0.4,0.7,0.2,0.2,1.2,1.3,1.8,0.7,0.9,
2011,Urbana,Estadual,74.5,84,73.2,84.9,91.5,76.2,92.7,80.7,69.9,76.9,67.2,56.8,69.4,81.3,82.5,20.1,14.3,21,10.7,6.9,22.3,5.7,17.5,23.9,16.6,20.5,27.8,19.3,10.4,4.6,5.4,1.7,5.8,4.4,1.6,1.5,1.6,1.8,6.2,6.5,12.3,15.4,11.3,8.3,12.9,
2010,Rural,Estadual,0,95,74.4,95.4,72.8,69.2,71.3,73.8,77.9,73.8,60.3,73.6,84.4,94.4,70.5,0,3.6,22.6,3.9,22,24.6,23.7,20.6,15.9,20.8,20.9,11.5,5.8,2.6,14.1,0,1.4,3,0.7,5.2,6.2,5,5.6,6.2,5.4,18.8,14.9,9.8,3,15.4,
2010,Rural,Federal,0,0,0,0,0,0,0,0,0,0,79.3,82.6,0,0,80.8,0,0,0,0,0,0,0,0,0,0,17.1,11.6,0,0,14.6,0,0,0,0,0,0,0,0,0,0,3.6,5.8,0,0,4.6,
2010,Rural,Municipal,76.6,76.4,80.5,84.1,87.3,75.2,76.7,82.7,87.4,80.6,84.2,86.2,100,100,92.9,21.8,22.7,18.3,14.8,11.4,22.1,20.6,14.7,9.6,17.9,10.5,6.9,0,0,4,1.6,0.9,1.2,1.1,1.3,2.7,2.7,2.6,3,1.5,5.3,6.9,0,0,3.1,
2010,Rural,Particular,92.5,96.6,94.3,97.4,97.4,92.7,93.1,90.7,93.1,94.5,92.9,96.6,98.8,0,95.9,6.9,3.2,5.7,2.4,2,6.9,6.6,9,5.8,5.1,7.1,3.4,1.2,0,4.1,0.6,0.2,0,0.2,0.6,0.4,0.3,0.3,1.1,0.4,0,0,0,0,0,
2010,Rural,Publico,76.6,76.5,80.3,84.5,86.5,73.2,74.7,79.1,83.6,79.7,60.7,73.9,84.6,94.8,70.9,21.8,22.5,18.4,14.4,12,22.9,21.8,17,12.1,18.3,20.8,11.5,5.7,2.4,14,1.6,1,1.3,1.1,1.5,3.9,3.5,3.9,4.3,2,18.5,14.6,9.7,2.8,15.1,
2010,Rural,Total,77.1,77.1,80.7,84.9,86.8,74,75.3,79.6,83.9,80.1,61.9,75.3,85.5,94.8,72.1,21.3,21.9,18.1,14.1,11.7,22.3,21.3,16.7,11.9,17.9,20.3,11,5.4,2.4,13.5,1.6,1,1.2,1,1.5,3.7,3.4,3.7,4.2,2,17.8,13.7,9.1,2.8,14.4,
