Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,79.7,85.2,72.5,95.1,95.1,92.7,71.1,79.1,60.5,85.5,72.7,64.6,74.9,81.6,58.9,14.9,11.7,19,2,2.9,5,25.1,17,29.2,7.2,8,10.9,7.3,4.8,4.3,5.4,3.1,8.5,2.9,2,2.3,3.8,3.9,10.3,7.3,19.3,24.5,17.8,13.6,36.8,
2011,Total,Publico,76.5,82.7,68.6,94.7,94.6,91.7,66.9,75.9,55.8,83.6,69.7,61,72,79.5,53,17,13.7,21.4,1.8,2.9,5.6,28.7,19.5,32.5,7.4,8.1,11,7.4,4.6,3.6,6.5,3.6,10,3.5,2.5,2.7,4.4,4.6,11.7,9,22.2,28,20.6,15.9,43.4,
2011,Total,Particular,95,96.6,92.8,96.4,96.7,97,96.6,96.2,92.8,93.6,91.5,88.5,92.8,93.8,91.8,4.5,3,6.8,2.7,2.9,2.6,3.1,3.5,6.8,6.1,7.8,10.7,6.5,5.5,8.2,0.5,0.4,0.4,0.9,0.4,0.4,0.3,0.3,0.4,0.3,0.7,0.8,0.7,0.7,0,
2011,Total,Municipal,78.2,83.5,68.9,95.1,94.8,92,67.7,76.7,56.6,85.5,100,100,0,0,0,16.6,13.4,22.3,1.8,3,5.7,28.5,19.3,33.1,7.4,0,0,0,0,0,5.2,3.1,8.8,3.1,2.2,2.3,3.8,4,10.3,7.1,0,0,0,0,0,
2011,Total,Federal,100,100,0,100,100,0,0,0,0,0,86.2,82.8,86.4,91.6,0,0,0,0,0,0,0,0,0,0,0,12.8,16.2,12.7,7.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9,0.9,0,
2011,Total,Estadual,72.9,79.8,68.3,92.7,93.8,90.6,64.4,73.7,54.5,81.7,69,60.2,71.4,79.1,53,18,14.8,20.1,2,2.3,5.2,29.4,19.9,31.6,7.5,7.9,10.8,7.2,4.6,3.6,9.1,5.4,11.6,5.3,3.9,4.2,6.2,6.4,13.9,10.8,23.1,29,21.4,16.3,43.4,
2011,Rural,Total,80,82.9,71.7,95.3,93.8,91.4,67.1,75.5,59.3,87.1,77.5,70.8,80.9,82.7,0,15.4,14,19.6,1.9,4.2,6.4,29.1,20.2,31.4,4.9,5.7,5.8,4.4,6,0,4.6,3.1,8.7,2.8,2,2.2,3.8,4.3,9.3,8,16.8,23.4,14.7,11.3,0,
2011,Rural,Publico,79.9,82.9,71.6,95.3,93.8,91.4,67.1,75.5,59.2,87.1,77.4,70.7,80.8,82.5,0,15.5,14,19.7,1.8,4.2,6.4,29.1,20.2,31.5,4.9,5.6,5.6,4.5,5.8,0,4.6,3.1,8.7,2.9,2,2.2,3.8,4.3,9.3,8,17,23.7,14.7,11.7,0,
2011,Rural,Particular,88.9,89.7,87.3,89.9,94.5,95.9,75.5,88.1,86.5,90.2,86.3,80,92.3,87,0,10.7,9.7,12.7,8.9,5.5,2.7,24.5,11.9,13.5,9.8,11.8,20,0,13,0,0.4,0.6,0,1.2,0,1.4,0,0,0,0,1.9,0,7.7,0,0,
2011,Rural,Municipal,80.3,83.2,71.8,95.6,93.9,91.4,67.4,75.7,59.5,88.1,0,0,0,0,0,15.4,13.9,19.8,1.7,4.2,6.6,28.9,20.1,31.5,4.8,0,0,0,0,0,4.3,2.9,8.4,2.7,1.9,2,3.7,4.2,9,7.1,0,0,0,0,0,
2011,Rural,Federal,0,0,0,0,0,0,0,0,0,0,87.9,89.8,88.5,87.3,0,0,0,0,0,0,0,0,0,0,0,10.6,9.1,9.7,11.1,0,0,0,0,0,0,0,0,0,0,0,1.5,1.1,1.8,1.6,0,
2011,Rural,Estadual,75.9,79.4,70.5,90.2,92.7,92.2,62.9,73.3,57.7,81.6,73.9,67.4,78,80.8,0,16.7,15.6,18.5,3.3,4.4,3.9,31.8,20.9,31.1,5.2,3.9,5,2.6,3.8,0,7.4,5,11,6.5,2.9,3.9,5.3,5.8,11.2,13.2,22.2,27.6,19.4,15.4,0,
2011,Urbana,Total,79.7,85.9,72.6,95,95.5,93.1,72.4,80.2,60.7,85.3,72.6,64.4,74.7,81.6,58.9,14.7,11,18.9,2.1,2.5,4.6,23.8,16,28.9,7.4,8.1,11,7.3,4.7,4.3,5.6,3.1,8.5,2.9,2,2.3,3.8,3.8,10.4,7.3,19.3,24.6,18,13.7,36.8,
2011,Urbana,Publico,75.6,82.6,68.2,94.4,95,91.8,66.9,76.1,55.2,83.2,69.5,60.8,71.8,79.4,53,17.5,13.5,21.6,1.8,2.3,5.3,28.6,19.2,32.7,7.8,8.1,11.1,7.5,4.6,3.6,6.9,3.9,10.2,3.8,2.7,2.9,4.5,4.7,12.1,9,22.4,28.1,20.7,16,43.4,
2011,Urbana,Particular,95.1,96.6,92.8,96.4,96.7,97,96.7,96.2,92.8,93.6,91.5,88.6,92.8,93.8,91.8,4.5,2.9,6.8,2.7,2.9,2.6,3,3.4,6.8,6.1,7.8,10.7,6.5,5.5,8.2,0.4,0.5,0.4,0.9,0.4,0.4,0.3,0.4,0.4,0.3,0.7,0.7,0.7,0.7,0,
2011,Urbana,Municipal,77.3,83.7,68.2,94.8,95.4,92.4,67.9,77.2,55.9,84.8,100,100,0,0,0,17.2,13.1,22.9,1.8,2.4,5.2,28.3,19,33.5,8,0,0,0,0,0,5.5,3.2,8.9,3.4,2.2,2.4,3.8,3.8,10.6,7.2,0,0,0,0,0,
2011,Urbana,Federal,100,100,0,100,100,0,0,0,0,0,85.9,82.1,85.9,92.8,0,0,0,0,0,0,0,0,0,0,0,13.2,16.9,13.3,6.4,0,0,0,0,0,0,0,0,0,0,0,0.9,1,0.8,0.8,0,
2011,Urbana,Estadual,72.7,79.9,68.2,93,93.9,90.4,64.6,73.7,54.3,81.7,68.9,60,71.3,79.1,53,18,14.7,20.2,1.9,2.1,5.3,29.2,19.8,31.7,7.6,7.9,10.9,7.2,4.6,3.6,9.3,5.4,11.6,5.1,4,4.3,6.2,6.5,14,10.7,23.2,29.1,21.5,16.3,43.4,
2010,Rural,Estadual,92.8,91.5,91.3,62.9,69.4,59.2,72.7,78.1,87.2,75.7,66.4,73.6,83.6,0,72.8,2.2,4.7,5.7,30.8,23.9,28.9,17,13,6.2,17.3,7.7,8.5,4.5,0,7.1,5,3.8,3,6.3,6.7,11.9,10.3,8.9,6.6,7,25.9,17.9,11.9,0,20.1,
2010,Rural,Federal,0,0,0,0,0,0,0,0,0,0,82.7,86,82.6,93,84.6,0,0,0,0,0,0,0,0,0,0,16.3,11.3,13.9,3.5,13,0,0,0,0,0,0,0,0,0,0,1,2.7,3.5,3.5,2.4,
2010,Rural,Municipal,92.9,90.7,89,66.3,74.9,54.9,71.1,79.4,86.3,78.3,0,0,0,0,0,3.7,6.9,8.7,29.7,20.8,34,19.9,11.4,5.8,16.7,0,0,0,0,0,3.4,2.4,2.3,4,4.3,11.1,9,9.2,7.9,5,0,0,0,0,0,
2010,Rural,Particular,96.9,95.8,91.7,90.9,96.3,70.2,69,93.8,100,89.5,95.7,95.2,91.3,0,94,3.1,2.8,8.3,9.1,3.7,29.8,31,6.2,0,10.2,4.3,4.8,8.7,0,6,0,1.4,0,0,0,0,0,0,0,0.3,0,0,0,0,0,
2010,Rural,Publico,92.8,90.7,89.1,66,74.4,55.4,71.2,79.3,86.4,78,70.2,76.8,83.3,93,76.1,3.6,6.7,8.4,29.8,21.1,33.3,19.6,11.6,5.8,16.8,9.7,9.2,7.4,3.5,8.8,3.6,2.6,2.5,4.2,4.5,11.3,9.2,9.1,7.8,5.2,20.1,14,9.3,3.5,15.1,
2010,Rural,Total,92.9,90.8,89.2,66,74.4,55.5,71.2,79.4,86.5,78.1,70.7,77.3,83.5,93,76.5,3.6,6.7,8.4,29.8,21,33.3,19.6,11.6,5.8,16.7,9.6,9.1,7.4,3.5,8.7,3.5,2.5,2.4,4.2,4.6,11.2,9.2,9,7.7,5.2,19.7,13.6,9.1,3.5,14.8,
2010,Total,Estadual,92.1,93.5,89.3,63.3,73.2,55.5,65.6,79.8,82,72.9,65.7,75.8,81.8,82.2,73.2,1.8,2.3,6.4,30.6,19.9,31,23.9,11,8.6,18.3,9,5.3,3.8,0.6,6.4,6.1,4.2,4.3,6.1,6.9,13.5,10.5,9.2,9.4,8.8,25.3,18.9,14.4,17.2,20.4,
2010,Total,Federal,100,98.5,0,0,0,0,0,0,0,98.9,82.1,87.2,85.3,86.8,84.6,0,1.5,0,0,0,0,0,0,0,1.1,17,11,12.3,9.5,13.6,0,0,0,0,0,0,0,0,0,0,0.9,1.8,2.4,3.7,1.8,
2010,Total,Municipal,94.4,93.1,90.1,67.6,76,55.4,68.2,80.3,83.2,77.4,0,0,0,0,59.5,2.4,4.4,7.5,28.7,19.8,33.2,22.4,12,8.3,16.9,0,0,0,0,35.1,3.2,2.5,2.4,3.7,4.2,11.4,9.4,7.7,8.5,5.7,0,0,0,0,5.4,
2010,Total,Particular,95.8,96.5,96.9,96.2,96.2,93.4,92,93.5,94,95,90.4,94.6,95.2,0,93.2,3.3,3,2.9,3.5,3.5,6.3,7.7,6.2,5.5,4.5,8.9,4.9,4.2,0,6.2,0.9,0.5,0.2,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.7,0.5,0.6,0,0.6,
2010,Total,Publico,94,93.2,89.9,66.6,75.3,55.5,67.2,80.1,82.6,76,66.4,76,81.9,85,73.6,2.3,4,7.2,29.2,19.8,32.3,23.1,11.6,8.5,17.4,9.3,5.4,4,6,6.7,3.7,2.8,2.9,4.2,4.9,12.2,9.7,8.3,8.9,6.6,24.3,18.6,14.1,9,19.7,
2010,Total,Total,94.4,93.9,91.1,70.6,78.6,60.2,70.8,82.5,84.6,79.1,69.2,78.6,83.9,85,76.1,2.5,3.8,6.5,25.7,17.2,29,20.8,10.6,7.9,15.3,9.3,5.3,4.1,6,6.6,3.1,2.3,2.4,3.7,4.2,10.8,8.4,6.9,7.5,5.6,21.5,16.1,12,9,17.3,
2010,Urbana,Estadual,92,93.7,89.1,63.4,73.6,55.3,65.4,79.8,81.8,72.8,65.7,75.8,81.8,82.2,73.2,1.8,2.1,6.5,30.5,19.6,31.1,24.2,11,8.7,18.3,9,5.2,3.8,0.6,6.4,6.2,4.2,4.4,6.1,6.8,13.6,10.4,9.2,9.5,8.9,25.3,19,14.4,17.2,20.4,
2010,Urbana,Federal,100,98.5,0,0,0,0,0,0,0,98.9,82,87.6,86.2,86.1,84.5,0,1.5,0,0,0,0,0,0,0,1.1,17.2,10.9,11.7,10.2,13.8,0,0,0,0,0,0,0,0,0,0,0.8,1.5,2.1,3.7,1.7,
2010,Urbana,Municipal,95.4,94.5,90.7,68.4,76.6,55.6,67.5,80.5,82.5,77.1,0,0,0,0,59.5,1.7,3,6.8,28.1,19.2,33,23.1,12.2,8.9,17,0,0,0,0,35.1,2.9,2.5,2.5,3.5,4.2,11.4,9.4,7.3,8.6,5.9,0,0,0,0,5.4,
2010,Urbana,Particular,95.8,96.6,96.9,96.2,96.2,93.5,92,93.5,93.9,95.1,90.4,94.6,95.2,0,93.2,3.3,3,2.8,3.4,3.5,6.1,7.6,6.2,5.5,4.5,8.9,4.9,4.2,0,6.2,0.9,0.4,0.3,0.4,0.3,0.4,0.4,0.3,0.6,0.4,0.7,0.5,0.6,0,0.6,
2010,Urbana,Publico,94.5,94.3,90.2,66.8,75.6,55.5,66.5,80.2,82.1,75.4,66.3,76,81.9,84.4,73.5,1.7,2.8,6.7,28.9,19.4,32.2,23.6,11.6,8.8,17.5,9.3,5.3,4,6.2,6.6,3.8,2.9,3.1,4.3,5,12.3,9.9,8.2,9.1,7.1,24.4,18.7,14.1,9.4,19.9,
2010,Urbana,Total,94.9,94.9,91.8,72,79.9,60.9,70.8,82.9,84.4,79.4,69.2,78.6,83.9,84.4,76.1,2.2,2.8,5.8,24.4,16.1,28.4,21,10.5,8.2,14.9,9.3,5.3,4,6.2,6.6,2.9,2.3,2.4,3.6,4,10.7,8.2,6.6,7.4,5.7,21.5,16.1,12.1,9.4,17.3,
2009,Rural,Estadual,89.2,92.2,86.1,59.7,67.8,54.9,68.7,80.4,78.6,73.4,62.1,68.3,86,0,70.7,4.4,2.7,7.8,34.4,24,31.4,20.5,9.6,6,17.8,8.2,7.3,1.7,0,6.1,6.4,5.1,6.1,5.9,8.2,13.7,10.8,10,15.4,8.8,29.7,24.4,12.3,0,23.2,
2009,Rural,Federal,0,0,0,0,0,0,0,0,0,0,76,82.8,85.1,0,81.1,0,0,0,0,0,0,0,0,0,0,21.7,12.8,12.8,0,15.9,0,0,0,0,0,0,0,0,0,0,2.3,4.4,2.1,0,3,
2009,Rural,Municipal,91,89.8,87.7,64.8,73.7,56.1,70.7,78.1,84.1,77.3,0,0,0,0,0,4.7,7.4,9.3,30.7,21.3,32,19.4,11.6,5.9,16.9,0,0,0,0,0,4.3,2.8,3,4.5,5,11.9,9.9,10.3,10,5.8,0,0,0,0,0,
2009,Rural,Particular,89.9,100,85.7,89.7,100,71,85,100,88.6,90.8,76.9,100,0,0,88.5,8.7,0,14.3,10.3,0,29,13.3,0,11.4,8.6,19.2,0,0,0,9.6,1.4,0,0,0,0,0,1.7,0,0,0.6,3.9,0,0,0,1.9,
