Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,88.1,92.8,82.6,98,90.9,91.1,91.6,92.9,81,85.7,79.4,72,82,86.5,89,9.3,5.9,13.3,0.9,7.7,7.7,7.1,5.5,15.7,9.4,13.2,18.6,11.8,7.3,7.6,2.6,1.3,4.1,1.1,1.4,1.2,1.3,1.6,3.3,4.9,7.4,9.4,6.2,6.2,3.4,
2011,Total,Publico,87.6,92.4,81.9,97.9,90.5,90.7,91.2,92.6,80.2,85.2,78.5,71,81.1,85.7,89,9.7,6.2,13.8,1,8.1,8,7.4,5.8,16.3,9.6,13.7,19.1,12.2,7.6,7.6,2.7,1.4,4.3,1.1,1.4,1.3,1.4,1.6,3.5,5.2,7.8,9.9,6.7,6.7,3.4,
2011,Total,Particular,97.2,98.6,95.2,99.3,97.5,98,99,99.1,97.4,93.7,93.4,89.7,94.5,96.7,0,2.7,1.2,4.8,0.3,1.8,2,1,0.9,2.6,6.3,6.6,10.3,5.5,3.3,0,0.1,0.2,0,0.4,0.7,0,0,0,0,0,0,0,0,0,0,
2011,Total,Municipal,93,93.8,80.2,98.4,91.7,92,92.7,94.1,81.7,82.7,75,70,81.3,70,0,5.5,5.2,12,0.7,7.3,7,6.3,4.4,14,4.7,13.9,30,6.3,10,0,1.5,1,7.8,0.9,1,1,1,1.5,4.3,12.6,11.1,0,12.4,20,0,
2011,Total,Federal,94.8,98.4,92.5,100,100,100,100,92.3,100,90,87.7,89,78.1,94.8,92.2,5.2,1.6,7.5,0,0,0,0,7.7,0,10,10.7,8.9,20,4.3,6.3,0,0,0,0,0,0,0,0,0,0,1.6,2.1,1.9,0.9,1.5,
2011,Total,Estadual,84.6,90.2,81.9,95.9,87.8,88.6,89.4,91.4,80.1,85.2,77.9,70.3,81.3,85.2,67.7,11.9,7.9,13.9,1.9,9.9,9.7,8.7,6.7,16.5,9.7,13.9,19.5,11.8,7.7,16.1,3.5,1.9,4.2,2.2,2.3,1.7,1.9,1.9,3.4,5.1,8.2,10.2,6.9,7.1,16.2,
2011,Rural,Total,85.7,87,83.6,95.5,83.4,85.3,85.6,87.9,80.7,88,83.3,78.7,83.5,87.2,92.2,9.5,9.8,9.1,1.5,13.2,11.7,11.2,8.8,13.1,4.3,4.8,6.8,4.9,1.7,6.3,4.8,3.2,7.3,3,3.4,3,3.2,3.3,6.2,7.7,11.9,14.5,11.6,11.1,1.5,
2011,Rural,Publico,85.7,87,83.6,95.5,83.4,85.3,85.6,87.9,80.7,88,83.3,78.7,83.5,87.2,92.2,9.5,9.8,9.1,1.5,13.2,11.7,11.2,8.8,13.1,4.3,4.8,6.8,4.9,1.7,6.3,4.8,3.2,7.3,3,3.4,3,3.2,3.3,6.2,7.7,11.9,14.5,11.6,11.1,1.5,
2011,Rural,Municipal,87.5,88.6,82.6,97,83.6,85.9,88.4,89.6,84.3,82.4,75,70,81.3,70,0,8.4,8.6,7.9,0.7,14.1,10.9,8.6,6.8,9.9,4.8,13.9,30,6.3,10,0,4.1,2.8,9.5,2.3,2.3,3.2,3,3.6,5.8,12.8,11.1,0,12.4,20,0,
2011,Rural,Federal,0,0,0,0,0,0,0,0,0,0,84.7,45.5,65,93.8,92.2,0,0,0,0,0,0,0,0,0,0,11.7,36.4,35,0,6.3,0,0,0,0,0,0,0,0,0,0,3.6,18.1,0,6.2,1.5,
2011,Rural,Estadual,85,86,83.8,94,83.3,84.8,84.4,87.1,80.1,88.8,83.3,79.8,84,87.3,0,10,10.6,9.3,2.3,12.5,12.4,12.4,9.6,13.6,4.2,4.1,5.7,4.2,1.6,0,5,3.4,6.9,3.7,4.2,2.8,3.2,3.3,6.3,7,12.6,14.5,11.8,11.1,0,
2011,Urbana,Total,88.9,94.9,82.3,98.7,93.5,93.4,94.5,94.9,81.1,85.2,78.6,70.7,81.7,86.3,67.7,9.2,4.4,14.4,0.7,5.8,6.1,5.1,4.2,16.4,10.5,14.9,20.7,13.1,8.4,16.1,1.9,0.7,3.3,0.6,0.7,0.5,0.4,0.9,2.5,4.3,6.5,8.6,5.2,5.3,16.2,
2011,Urbana,Publico,88.2,94.6,81.4,98.7,93.2,93,94,94.6,80.1,84.5,77.5,69.5,80.6,85.4,67.7,9.7,4.7,15.1,0.8,6.1,6.5,5.5,4.5,17.3,10.9,15.6,21.4,13.8,8.9,16.1,2.1,0.7,3.5,0.5,0.7,0.5,0.5,0.9,2.6,4.6,6.9,9.1,5.6,5.7,16.2,
2011,Urbana,Particular,97.2,98.6,95.2,99.3,97.5,98,99,99.1,97.4,93.7,93.4,89.7,94.5,96.7,0,2.7,1.2,4.8,0.3,1.8,2,1,0.9,2.6,6.3,6.6,10.3,5.5,3.3,0,0.1,0.2,0,0.4,0.7,0,0,0,0,0,0,0,0,0,0,
2011,Urbana,Municipal,94.5,95,74.7,98.7,93.4,93.5,93.8,95.3,76.7,84.1,0,0,0,0,0,4.8,4.4,21.3,0.7,5.8,6.1,5.7,3.8,21.8,4.5,0,0,0,0,0,0.7,0.6,4,0.6,0.8,0.4,0.5,0.9,1.5,11.4,0,0,0,0,0,
2011,Urbana,Federal,94.8,98.4,92.5,100,100,100,100,92.3,100,90,88.6,94.8,79.2,94.9,0,5.2,1.6,7.5,0,0,0,0,7.7,0,10,10.4,5.2,18.8,4.6,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.5,0,
2011,Urbana,Estadual,84.5,93.6,81.5,98.4,92.1,91.7,94.4,93.9,80,84.5,76.8,68.4,80.7,84.8,67.7,12.7,5.7,15,1.3,7.4,7.6,5.1,5.1,17.3,10.9,15.9,22.1,13.5,9.2,16.1,2.8,0.7,3.5,0.3,0.5,0.7,0.5,1,2.7,4.6,7.3,9.5,5.8,6,16.2,
2010,Rural,Estadual,92,82.2,86.8,84.6,87.8,78.5,81.9,86.5,90.3,84.9,78.8,85.8,89.9,0,84.1,3.9,14.4,10.2,12.2,8.8,14.6,10.5,5.6,2.4,9.9,6.5,3.4,3.6,0,4.7,4.1,3.4,3,3.2,3.4,6.9,7.6,7.9,7.3,5.2,14.7,10.8,6.5,0,11.2,
2010,Rural,Federal,0,0,0,0,0,0,0,0,0,0,44.7,94.1,0,0,86.4,0,0,0,0,0,0,0,0,0,0,44.7,5.9,0,0,9.7,0,0,0,0,0,0,0,0,0,0,10.6,0,0,0,3.9,
2010,Rural,Municipal,97.5,80.3,84.3,86.5,88,82.2,83.5,80.7,83.5,86.2,90.5,100,100,0,95.7,0.7,15.9,13.3,11.7,8.3,10.8,7.2,6.9,2.7,9.8,0,0,0,0,0,1.8,3.8,2.4,1.8,3.7,7,9.3,12.4,13.8,4,9.5,0,0,0,4.3,
2010,Rural,Particular,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2010,Rural,Publico,94.8,81.4,86,85.2,87.9,79,82.1,85.7,89.5,85.3,77.7,86.2,90,0,84.4,2.3,15,11.2,12.1,8.6,14,10.1,5.8,2.4,9.9,7.8,3.4,3.5,0,5,2.9,3.6,2.8,2.7,3.5,7,7.8,8.5,8.1,4.8,14.5,10.4,6.5,0,10.6,
2010,Rural,Total,94.8,81.4,86,85.2,87.9,79,82.1,85.7,89.5,85.3,78,86.2,90.1,100,84.5,2.3,15,11.2,12.1,8.6,14,10.1,5.8,2.4,9.9,7.7,3.4,3.5,0,5,2.9,3.6,2.8,2.7,3.5,7,7.8,8.5,8.1,4.8,14.3,10.4,6.4,0,10.5,
2010,Total,Estadual,95.5,86.3,88.4,89.7,91.5,81,82.5,84.7,86.6,85.9,75.2,82.9,86.3,0,80.5,2.3,11.9,9.6,8.7,6.6,15.2,13,11.4,8.9,10.8,15.9,9.4,7.7,0,11.7,2.2,1.8,2,1.6,1.9,3.8,4.5,3.9,4.5,3.3,8.9,7.7,6,0,7.8,
2010,Total,Federal,100,100,100,92.6,95.8,98,98,94,82.6,95.1,85.1,87.6,94.4,96.4,91,0,0,0,7.4,4.2,2,2,6,17.4,4.9,12.6,11.7,4.5,3,7.6,0,0,0,0,0,0,0,0,0,0,2.3,0.7,1.1,0.6,1.4,
2010,Total,Municipal,98.4,89.4,90.9,90.8,93.9,82.7,84.3,84.9,84.9,92.4,90.5,100,100,0,95.7,0.6,9,8.1,8.3,4.6,11.5,8.9,5.8,2.9,6,0,0,0,0,0,1,1.6,1,0.9,1.5,5.8,6.8,9.3,12.2,1.6,9.5,0,0,0,4.3,
2010,Total,Particular,99.6,99,99.6,99.4,98.4,98.2,96.3,96.1,95,97.9,93,94.8,99.2,100,95.5,0.4,0.8,0.4,0.6,1.6,1.8,3.7,3.9,5,2.1,6.8,5.2,0.8,0,4.5,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,
2010,Total,Publico,97.8,88.2,89.7,90.2,92.5,81.1,82.7,84.8,86.5,88,75.6,83.2,86.6,96.4,81.3,1,10.1,8.8,8.5,5.8,15,12.8,11.1,8.7,9.3,15.7,9.5,7.5,3,11.4,1.2,1.7,1.5,1.3,1.7,3.9,4.5,4.1,4.8,2.7,8.7,7.3,5.9,0.6,7.3,
