Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,85.5,91.8,78.5,99,89.4,90.4,91.7,88.7,75.4,84.9,69.2,57.4,73.8,85.8,69.5,13.1,7.7,19.2,0.5,10.2,9.1,7.8,10.4,22.4,12.7,20.7,29.4,17.3,8.5,19.4,1.4,0.5,2.3,0.5,0.4,0.5,0.5,0.9,2.2,2.4,10.1,13.2,8.9,5.7,11.1,
2011,Total,Publico,84.3,91.1,76.8,99,88.5,89.6,91,88.4,73.4,83.8,66.5,54.5,71.3,84,69.2,14.1,8.3,20.6,0.5,11,9.9,8.4,10.7,24.2,13.5,22.2,31,18.7,9.4,19.6,1.6,0.6,2.6,0.5,0.5,0.5,0.6,0.9,2.4,2.7,11.3,14.5,10,6.6,11.2,
2011,Total,Particular,96.2,98,94.3,99.6,96.9,97.9,98,96.1,95.9,93.7,91.5,86.8,92,96.6,93.3,3.7,1.9,5.6,0.3,3,2.1,2,3.7,4,6.1,8.1,12.6,7.6,3,4.5,0.1,0.1,0.1,0.1,0.1,0,0,0.2,0.1,0.2,0.4,0.6,0.4,0.4,2.2,
2011,Total,Municipal,86.7,91.5,79.9,98.9,89.4,89.7,91.3,88.9,75.7,88.1,63.5,49.4,67.8,77.4,63,11.9,7.9,17.6,0.6,10.1,9.8,8.1,10.1,21.8,9.5,18.2,31.9,20.8,9.6,8.3,1.4,0.6,2.5,0.5,0.5,0.5,0.6,1,2.5,2.4,18.3,18.7,11.4,13,28.7,
2011,Total,Federal,90.8,93.5,90.6,100,91.7,92,92,0,90.3,90.7,78.3,69.8,78.9,89.9,86.8,9.2,6.5,9.4,0,8.3,8,8,0,9.7,9.3,18.3,25.8,18.4,8.1,7.9,0,0,0,0,0,0,0,0,0,0,3.4,4.4,2.7,2,5.3,
2011,Total,Estadual,81.7,90.6,74.1,99,87.3,89.5,90.7,87.4,71.1,80.5,66.3,54.2,71.2,84,69.4,16.5,8.9,23.1,0.4,12.2,10.1,8.8,11.6,26.5,16.4,22.3,31.1,18.6,9.4,21.5,1.8,0.5,2.8,0.6,0.5,0.4,0.5,1,2.4,3.1,11.4,14.7,10.2,6.6,9.1,
2011,Rural,Total,87.5,91.9,81.8,98.9,88.7,90.1,92.4,90.6,75.8,90.9,76.7,64.9,80.2,93.3,66.7,11.1,7.5,15.7,0.3,10.8,9.5,7.1,8.5,21.9,6.5,15.8,24.5,13.5,3.1,33.3,1.4,0.6,2.5,0.8,0.5,0.4,0.5,0.9,2.3,2.6,7.5,10.6,6.3,3.6,0,
2011,Rural,Publico,87.5,91.9,81.7,98.9,88.7,90.1,92.4,90.6,75.8,90.9,76.3,64.3,79.9,93.2,66.7,11.1,7.5,15.7,0.3,10.8,9.5,7.1,8.5,21.9,6.5,15.9,24.9,13.6,3.2,33.3,1.4,0.6,2.6,0.8,0.5,0.4,0.5,0.9,2.3,2.6,7.8,10.8,6.5,3.6,0,
2011,Rural,Particular,85.2,86.9,84.5,100,96.7,80,76.7,80,69,92.8,89.5,85,89.9,97.6,0,14.4,13.1,14.9,0,3.3,20,23.3,20,31,6.2,10.2,14.4,10.1,2.4,0,0.4,0,0.6,0,0,0,0,0,0,1,0.3,0.6,0,0,0,
2011,Rural,Municipal,88.5,92.4,82.7,99.2,88.9,90.8,92.9,90.9,76.5,92.3,80,76.5,80.2,85.1,0,10.4,7.2,15,0.4,10.7,8.9,6.7,8.4,21.4,5.5,13.1,17.6,12.4,7,0,1.1,0.4,2.3,0.4,0.4,0.3,0.4,0.7,2.1,2.2,6.9,5.9,7.4,7.9,0,
