Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,94.7,96.6,92.4,99.2,96.5,93.1,97.1,97.1,90.6,92.9,84.5,78.1,86.7,91.4,92,4.4,3.1,5.9,0.5,3.3,6.7,2.6,2.4,8.4,5.2,7.5,11.4,6.3,3,7.3,0.9,0.3,1.7,0.3,0.2,0.2,0.3,0.5,1,1.9,8,10.5,7,5.6,0.7,
2011,Total,Publico,94.4,96.3,92,99.2,96.3,92.5,96.9,96.9,89,92.6,82.9,76.2,85.3,90.3,89.8,4.6,3.3,6.2,0.5,3.6,7.3,2.8,2.5,9.8,5.3,7.9,12,6.7,3.2,8.8,1,0.4,1.8,0.3,0.1,0.2,0.3,0.6,1.2,2.1,9.2,11.8,8,6.5,1.4,
2011,Total,Particular,97.9,98.9,96.8,99.1,98.6,99.1,99.1,98.9,97.9,96.1,95.1,92.4,95.6,97.9,94.1,2,1,3.1,0.8,1.3,0.9,0.9,1.1,2,3.8,4.6,7.2,4.2,1.9,5.9,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.3,0.4,0.2,0.2,0,
2011,Total,Municipal,93.7,95.7,90.2,99.3,94.8,93.4,95.5,95.4,87.4,94.3,92.5,90.7,91.8,95.8,0,5.7,4.1,8.6,0.5,5,6.4,4.3,4.2,11.4,4.3,4,4.7,4.5,2.4,0,0.6,0.2,1.2,0.2,0.2,0.2,0.2,0.4,1.2,1.4,3.5,4.6,3.7,1.8,0,
2011,Total,Federal,95.4,98.3,91.8,100,100,97.3,97.3,97.2,97.2,94.6,91.7,89.3,92.4,97,89.4,4.2,1.1,7.8,0,0,2.7,1.3,1.4,2.8,5.4,7.2,9.1,6.7,2.3,9.5,0.4,0.6,0.4,0,0,0,1.4,1.4,0,0,1.1,1.6,0.9,0.7,1.1,
2011,Total,Estadual,95.2,97.4,93.4,99.2,99.4,91,99.1,98.7,98.3,91.4,82.7,75.9,85.2,90.2,92.1,3.3,2.2,4.3,0.4,0.4,8.7,0.6,0.6,0.4,6,8,12.1,6.7,3.3,5.2,1.5,0.4,2.3,0.4,0.2,0.3,0.3,0.7,1.3,2.6,9.3,12,8.1,6.5,2.7,
2011,Rural,Total,95.9,96.8,94.2,99.4,97.3,92.9,97.1,97.4,90.7,94.8,92.4,88,92.9,97.4,88.9,3.3,2.9,3.9,0.4,2.6,6.9,2.5,2.2,7.9,2.9,3.8,6.3,3.3,1.1,11.1,0.8,0.3,1.9,0.2,0.1,0.2,0.4,0.4,1.4,2.3,3.8,5.7,3.8,1.5,0,
2011,Rural,Publico,95.9,96.8,94.2,99.4,97.3,92.9,97.1,97.4,90.7,94.8,92.4,88.1,92.8,97.6,88.9,3.3,2.9,3.9,0.4,2.6,6.9,2.5,2.2,7.9,2.9,3.7,6.1,3.4,0.9,11.1,0.8,0.3,1.9,0.2,0.1,0.2,0.4,0.4,1.4,2.3,3.9,5.8,3.8,1.5,0,
2011,Rural,Particular,0,0,0,0,0,0,0,0,0,0,91.2,84.5,98.3,92.3,0,0,0,0,0,0,0,0,0,0,0,8.8,15.5,1.7,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,Rural,Municipal,95.6,96.4,93.4,99.3,96.6,92.8,96.3,96.7,89.1,96.1,93.6,91.4,94.4,96.3,0,3.9,3.4,5.3,0.4,3.2,7,3.3,3,9.6,2.5,1.5,2.9,0.9,0,0,0.5,0.2,1.3,0.3,0.2,0.2,0.4,0.3,1.3,1.4,4.9,5.7,4.7,3.7,0,
2011,Rural,Federal,0,0,0,0,0,0,0,0,0,0,95.7,95,93.7,97.4,100,0,0,0,0,0,0,0,0,0,0,2.8,2.8,5.3,0.5,0,0,0,0,0,0,0,0,0,0,0,1.5,2.2,1,2.1,0,
