Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,76,81.8,69,96.4,75.1,78.3,81.2,81.9,59.7,79.4,73.1,64.3,74.4,84.7,97.1,19.5,15.8,24,1.6,22.5,19.4,16.4,15,32.3,13.7,13.7,19,13.3,6.4,2.9,4.5,2.4,7,2,2.4,2.3,2.4,3.1,8,6.9,13.2,16.7,12.3,8.9,0,
2011,Total,Publico,72.6,78.8,65.3,96.1,71.2,74.6,78.3,79.2,55.5,76.7,69.7,60.7,70.9,82.1,0,22.1,18.4,26.5,1.5,26,22.7,18.9,17.2,35.4,14.9,14.7,19.8,14.4,7.1,0,5.3,2.8,8.2,2.4,2.8,2.7,2.8,3.6,9.1,8.4,15.6,19.5,14.7,10.8,0,
2011,Total,Particular,93.7,96.5,89.9,97.5,95.2,96.7,96.9,96.1,89.7,90.9,90.3,84.8,91.2,95.9,97.1,5.9,3.2,9.7,1.9,4.3,2.9,2.9,3.7,9.9,8.7,8.9,14.2,7.9,3.4,2.9,0.4,0.3,0.4,0.6,0.5,0.4,0.2,0.2,0.4,0.4,0.8,1,0.9,0.7,0,
2011,Total,Municipal,72.9,77.4,65.1,96.1,70.2,72.5,75.9,77.9,55.3,78.3,92.8,85.5,96.8,96,0,22,19.6,26.1,1.6,27,24.7,21.1,18.3,35.1,12.5,0.6,1.8,0,0,0,5.1,3,8.8,2.3,2.8,2.8,3,3.8,9.6,9.2,6.6,12.7,3.2,4,0,
2011,Total,Federal,90.7,0,90.7,0,0,0,0,0,75.4,97.1,79.5,71.6,76.9,91.2,0,9.3,0,9.3,0,0,0,0,0,24.6,2.9,16.4,21.2,20.3,8.5,0,0,0,0,0,0,0,0,0,0,0,4.1,7.2,2.8,0.3,0,
2011,Total,Estadual,72.1,83.1,65.4,96.1,74.9,81.7,85.1,82.9,55.6,75.3,69.4,60.4,70.7,81.9,0,22.2,14.4,27,1.5,22.7,16,12.5,14.3,35.8,16.8,14.7,19.8,14.3,7,0,5.7,2.5,7.6,2.4,2.4,2.3,2.4,2.8,8.6,7.9,15.9,19.8,15,11.1,0,
2011,Rural,Total,75,78.3,68.1,96.7,69.6,74,77.1,79.8,57.6,82.4,77.3,70.1,74.8,90.7,0,20.7,19.4,23.5,1.8,28.5,23.9,20.2,17.2,33.4,9.3,9,11.8,11.1,2,0,4.3,2.3,8.4,1.5,1.9,2.1,2.7,3,9,8.3,13.7,18.1,14.1,7.3,0,
2011,Rural,Publico,74.9,78.2,68.1,96.7,69.4,73.9,77,79.7,57.5,82.4,77.3,70.1,74.8,90.7,0,20.8,19.5,23.5,1.8,28.6,24,20.3,17.3,33.5,9.3,9,11.8,11.1,2,0,4.3,2.3,8.4,1.5,2,2.1,2.7,3,9,8.3,13.7,18.1,14.1,7.3,0,
2011,Rural,Particular,91.2,93.1,83.7,98.3,88.5,98.1,93,91.7,78.8,84.6,0,0,0,0,0,8.6,6.6,16.3,1.7,11.5,1.9,5.6,8.3,21.2,15.4,0,0,0,0,0,0.2,0.3,0,0,0,0,1.4,0,0,0,0,0,0,0,0,
2011,Rural,Municipal,74.7,78,67.6,96.7,69.2,73.6,76.6,79.5,57.2,83,0,0,0,0,0,21,19.7,23.8,1.8,28.8,24.3,20.7,17.4,33.6,8.8,0,0,0,0,0,4.3,2.3,8.6,1.5,2,2.1,2.7,3.1,9.2,8.2,0,0,0,0,0,
