Ano,Local,Rede,Aprov_1ano_Fund,Aprov_2ano_Fund,Aprov_3ano_Fund,Aprov_4ano_Fund,Aprov_5ano_Fund,Aprov_6ano_Fund,Aprov_7ano_Fund,Aprov_8ano_Fund,Aprov_9ano_Fund,Total_Aprov_Fund,Aprov_1serie_Medio,Aprov_2serie_Medio,Aprov_3serie_Medio,Aprov_4serie_Medio,Total_Aprov_Medio,Reprov_1ano_Fund,Reprov_2ano_Fund,Reprov_3ano_Fund,Reprov_4ano_Fund,Reprov_5ano_Fund,Reprov_6ano_Fund,Reprov_7ano_Fund,Reprov_8ano_Fund,Reprov_9ano_Fund,Total_Reprov_Fund,Reprov_1serie_Medio,Reprov_2serie_Medio,Reprov_3serie_Medio,Reprov_4serie_Medio,Total_Reprov_Medio,Abandono_1ano_Fund,Abandono_2ano_Fund,Abandono_3ano_Fund,Abandono_4ano_Fund,Abandono_5ano_Fund,Abandono_6ano_Fund,Abandono_7ano_Fund,Abandono_8ano_Fund,Abandono_9ano_Fund,Total_Abandono_Fund,Abandono_1serie_Medio,Abandono_2serie_Medio,Abandono_3serie_Medio,Abandono_4serie_Medio,Total_Abandono_Medio,
2011,Total,Total,89.3,91.8,86.3,98.7,87.5,89.9,91.5,92.7,83.9,88.8,81,74.5,83.1,89.4,0,9.1,7.4,11.2,0.7,11.7,9.3,7.6,6.3,13.8,8.3,10.4,14.4,8.9,5.6,0,1.6,0.8,2.5,0.6,0.8,0.8,0.9,1,2.3,2.9,8.6,11.1,8,5,0,
2011,Total,Publico,88.8,91.3,85.8,98.7,86.7,89.4,91.1,92.3,83.3,88.4,80.5,74,82.5,88.9,0,9.5,7.8,11.5,0.6,12.5,9.8,8,6.6,14.3,8.4,10.5,14.4,9,5.7,0,1.7,0.9,2.7,0.7,0.8,0.8,0.9,1.1,2.4,3.2,9,11.6,8.5,5.4,0,
2011,Total,Particular,96.7,98.2,94.3,98.5,98.3,97.9,98.1,98.1,94.9,94.3,91.2,85.8,93.4,96.4,0,3.2,1.6,5.5,1.1,1.4,2,1.9,1.9,5.1,5.5,8.6,13.9,6.4,3.5,0,0.1,0.2,0.2,0.4,0.3,0.1,0,0,0,0.2,0.2,0.3,0.2,0.1,0,
2011,Total,Municipal,90.1,91.1,87.5,98.8,86,88.6,90.9,92.1,82.5,93.3,80.9,80.9,0,0,0,8.6,8.1,9.8,0.7,13.1,10.7,8.2,6.9,14.7,4.2,2.9,2.9,0,0,0,1.3,0.8,2.7,0.5,0.9,0.7,0.9,1,2.8,2.5,16.2,16.2,0,0,0,
2011,Total,Federal,0,0,0,0,0,0,0,0,0,0,79.5,66,88.6,89.8,0,0,0,0,0,0,0,0,0,0,0,16.3,30.1,7.8,5.4,0,0,0,0,0,0,0,0,0,0,0,4.2,3.9,3.6,4.8,0,
2011,Total,Estadual,87.7,91.7,85.2,98.4,87.8,90.6,91.3,92.6,83.6,87,80.5,74.1,82.4,88.9,0,10.3,7.3,12.1,0.6,11.3,8.4,7.6,6.3,14.1,9.7,10.3,14,9,5.7,0,2,1,2.7,1,0.9,1,1.1,1.1,2.3,3.3,9.2,11.9,8.6,5.4,0,
2011,Rural,Total,86.1,86.4,85.5,95.3,80.5,84.7,86.6,87.4,79.7,89.7,88.3,83.1,90.6,94.1,0,10.3,10.6,9.7,2.4,16.7,12.4,10.2,9.2,15,5.4,5.5,8.8,3.9,1.7,0,3.6,3,4.8,2.3,2.8,2.9,3.2,3.4,5.3,4.9,6.2,8.1,5.5,4.2,0,
2011,Rural,Publico,85.9,86.2,85.3,95.3,80.2,84.5,86.3,87.2,79.4,89.5,87.3,81.9,89.7,93.6,0,10.4,10.8,9.8,2.4,17,12.5,10.4,9.3,15.3,5.4,5.9,9.4,4.3,1.8,0,3.7,3,4.9,2.3,2.8,3,3.3,3.5,5.3,5.1,6.8,8.7,6,4.6,0,
2011,Rural,Particular,97.8,98.5,97.2,100,98.7,97.5,100,97.5,98.7,96.3,99.6,99.1,100,100,0,2.2,1.5,2.8,0,1.3,2.5,0,2.5,1.3,3.7,0.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,Rural,Municipal,87.2,87.4,86.7,96.9,80,84.6,88.3,89.6,79.6,92.9,80.9,80.9,0,0,0,10.4,10.9,9.4,1.9,18.2,13.8,10,8.5,15.6,3.3,2.9,2.9,0,0,0,2.4,1.7,3.9,1.2,1.8,1.6,1.7,1.9,4.8,3.8,16.2,16.2,0,0,0,
